latency_ms,frame_count
2.12657,1
4.20216,2
2.03492,1
15.8638,8
2.0942,1
2.04965,1
2.10515,1
1.81455,1
2.19365,1
2.02316,1
8.1376,4
1.99808,1
1.84831,1
3.98707,2
4.05211,2
4.13935,2
2.13263,1
20.2536,10
1.96485,1
1.76645,1
1.96321,1
1.99733,1
1.27556,1
2.04114,1
4.02091,2
2.01159,1
2.23706,1
13.6767,7
2.04327,1
2.03868,1
4.00434,2
1.97733,1
1.98941,1
7.96102,4
1.94829,1
1.97115,1
9.89644,5
1.99502,1
1.99717,1
4.05213,2
2.01376,1
6.25601,3
3.83444,2
4.09032,2
6.20944,3
10.1285,5
9.676,5
1.95964,1
1.91768,1
10.0608,5
2.01154,1
1.98784,1
2.00238,1
1.9451,1
7.96876,4
4.01934,2
3.99053,2
5.93112,3
1.95362,1
1.93013,1
2.03512,1
1.94547,1
16.3801,8
3.81695,2
3.98595,2
1.99088,1
1.79042,1
1.96154,1
9.94925,5
1.8188,1
1.8122,1
1.9981,1
12.0293,6
1.96919,1
2.04058,1
1.97948,1
8.21552,4
1.77768,1
2.21111,1
4.0045,2
4.04981,2
3.81859,2
2.01764,1
12.1539,6
2.0308,1
2.11143,1
1.967,1
1.98436,1
1.96693,1
8.05166,4
2.01371,1
1.78085,1
4.00772,2
3.93621,2
2.03839,1
2.01434,1
2.11837,1
1.93242,1
4.04527,2
2.00225,1
5.94983,3
4.04697,2
1.98673,1
1.97639,1
5.96883,3
2.00884,1
9.72971,5
1.99836,1
1.9558,1
1.69595,1
2.30486,1
27.7418,14
6.1995,3
1.99998,1
1.79567,1
1.81411,1
2.16107,1
6.01281,3
1.98281,1
3.80679,2
2.06238,1
1.98376,1
2.05814,1
1.83419,1
44.0147,22
4.01042,2
4.06086,2
3.97373,2
1.81372,1
1.85517,1
3.97942,2
2.32405,1
4.02705,2
2.01609,1
1.98755,1
2.03421,1
9.77283,5
2.31017,1
1.99045,1
4.0094,2
2.00026,1
1.99368,1
1.99356,1
2.1552,1
1.8371,1
1.55814,1
1.76808,1
2.0367,1
1.84909,1
2.03381,1
5.97631,3
2.00808,1
1.91372,1
2.00276,1
3.97019,2
2.09897,1
1.94803,1
4.11541,2
1.94683,1
1.99668,1
2.1158,1
1.85811,1
1.64817,1
1.8975,1
1.72578,1
2.01352,1
3.60291,2
2.01339,1
3.9956,2
3.6225,2
2.01543,1
2.17352,1
1.82648,1
1.87759,1
1.99177,1
21.9814,11
1.81925,1
2.23643,1
1.97283,1
14.2457,7
5.93039,3
2.01187,1
3.55933,2
2.31003,1
2.0338,1
1.88066,1
3.93622,2
2.24973,1
1.98826,1
17.8012,9
3.85922,2
2.27511,1
1.62445,1
9.6788,5
1.62488,1
9.74587,5
1.87382,1
4.19801,2
1.96611,1
4.20373,2
2.00636,1
5.99464,3
1.9726,1
3.87584,2
6.03742,3
2.14012,1
1.99594,1
1.91034,1
1.9604,1
2.04164,1
1.97867,1
2.01366,1
2.06262,1
1.99775,1
10.0278,5
4.04052,2
1.95309,1
1.82209,1
8.1623,4
2.31633,1
4.01033,2
1.99527,1
9.98946,5
3.94601,2
1.58943,1
2.22881,1
1.98148,1
2.11484,1
2.00608,1
20.007,10
1.97807,1
1.99159,1
4.07905,2
1.7876,1
1.95436,1
1.97835,1
8.16121,4
1.79232,1
2.08301,1
18.2453,9
2.07445,1
2.07075,1
2.11818,1
2.05302,1
2.15131,1
2.21542,1
1.75847,1
1.98463,1
1.98413,1
2.00577,1
2.0096,1
1.9846,1
1.99926,1
9.857,5
49.9525,25
6.26981,3
2.02627,1
1.95917,1
2.19075,1
2.02583,1
1.75848,1
2.00606,1
2.0492,1
2.09057,1
2.0047,1
1.99382,1
2.30552,1
1.99661,1
27.8841,14
2.19631,1
2.26334,1
4.03628,2
1.79111,1
1.98941,1
2.00571,1
1.99345,1
2.02616,1
4.06086,2
30.0363,15
2.2062,1
2.14799,1
1.83798,1
1.96458,1
2.01627,1
7.95536,4
5.9626,3
2.02577,1
1.86182,1
3.89611,2
1.99051,1
2.05052,1
1.99549,1
1.99483,1
2.00924,1
1.98949,1
1.61325,1
2.27994,1
2.03216,1
4.02134,2
4.05455,2
