latency_ms,fraction,frame_interval_ms
11.927,0.992318,1.99618
4.32517,0.898464,1.87995
14.0426,0.973079,2.23933
8.23471,0.868464,2.05838
7.69475,0.956045,2.00532
7.31949,0.754232,2.15957
18.4326,0.964106,2.05608
6.44205,0.498079,1.82224
17.2478,0.546159,1.90759
12.1643,0.823079,2.33579
16.801,0.973079,2.01817
19.7411,0.442318,1.91128
11.9425,0.998079,2.0456
18.4652,0.910579,1.95833
10.0208,0.74904,2.01078
2.07216,0.948464,2.12567
2.85198,0.960579,2.07743
16.9562,0.992318,1.99686
7.94764,0.948079,2
17.7776,0.696159,1.82845
3.6166,0.980773,2.00079
4.01534,0.938464,1.74262
5.8608,0.820331,2.20775
18.6503,0.898079,1.73278
19.0232,0.684617,1.86628
9.29942,0.940386,1.9287
2.2437,0.932053,2.22933
15.7311,0.873079,2.02505
19.8405,0.908464,2.1817
5.04182,0.94872,2.19619
