t_sys,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z
3271.759757973,0.001065264,-0.018109493,0.000000000,-0.559046090,0.405817181,9.296685219
3271.761582487,-0.013848436,0.010652643,0.005326321,-0.559046090,0.405817181,9.296685219
3271.763752964,-0.005326321,-0.009587379,0.000000000,-0.560243189,0.378283858,9.416395187
3271.765452672,-0.013848436,-0.009587379,-0.005326321,-0.560243189,0.378283858,9.416395187
3271.767398695,-0.006391586,-0.010652643,-0.007456850,-0.562637389,0.366312861,9.330204010
3271.769235054,-0.004261057,-0.008522115,-0.007456850,-0.562637389,0.366312861,9.330204010
3271.771583747,0.006391586,-0.012783172,-0.001065264,-0.562637389,0.366312861,9.330204010
3271.773546360,-0.009587379,-0.014913701,-0.004261057,-0.539892495,0.377086759,9.319430351
3271.775404338,-0.007456850,-0.007456850,-0.003195793,-0.539892495,0.377086759,9.319430351
3271.777302021,-0.005326321,-0.005326321,0.001065264,-0.574608386,0.374692559,9.339780807
3271.779575556,-0.006391586,-0.010652643,0.001065264,-0.574608386,0.374692559,9.339780807
3271.781593907,0.006391586,-0.022370551,-0.004261057,-0.574608386,0.374692559,9.339780807
3271.783795028,-0.007456850,-0.007456850,0.003195793,-0.586579442,0.369904160,9.307458878
3271.785877886,-0.006391586,-0.009587379,-0.014913701,-0.586579442,0.369904160,9.307458878
3271.787477732,-0.005326321,-0.012783172,0.002130529,-0.578199685,0.356736064,9.315838814
3271.789830747,0.002130529,-0.008522115,-0.005326321,-0.578199685,0.356736064,9.315838814
3271.791965005,-0.010652643,-0.010652643,0.003195793,-0.578199685,0.356736064,9.315838814
3271.794194085,-0.006391586,-0.014913701,-0.003195793,-0.545877993,0.380678058,9.375694275
3271.795997512,-0.002130529,-0.007456850,0.007456850,-0.545877993,0.380678058,9.375694275
3271.797938748,-0.003195793,-0.012783172,0.003195793,-0.579396784,0.395043284,9.282320023
3271.800420848,-0.015978964,-0.012783172,0.011717907,-0.579396784,0.395043284,9.282320023
3271.802138050,-0.009587379,-0.010652643,0.004261057,-0.579396784,0.395043284,9.282320023
3271.803877875,0.000000000,-0.013848436,-0.005326321,-0.557848990,0.355538964,9.363722801
3271.805682662,0.001065264,-0.006391586,0.001065264,-0.557848990,0.355538964,9.363722801
3271.807932498,-0.004261057,-0.017044229,0.005326321,-0.555454791,0.372298360,9.351752281
3271.809916194,0.000000000,-0.002130529,-0.005326321,-0.555454791,0.372298360,9.351752281
3271.811835708,0.001065264,-0.022370551,-0.002130529,-0.555454791,0.372298360,9.351752281
3271.813829025,-0.008522115,-0.005326321,-0.007456850,-0.548272192,0.398634583,9.294290543
3271.816140777,-0.004261057,-0.008522115,-0.007456850,-0.548272192,0.398634583,9.294290543
3271.818155768,-0.004261057,-0.005326321,-0.007456850,-0.550666392,0.384269387,9.339780807
3271.820118218,0.008522115,-0.010652643,0.002130529,-0.550666392,0.384269387,9.339780807
3271.821981008,-0.013848436,-0.008522115,0.005326321,-0.550666392,0.384269387,9.339780807
3271.823768498,-0.005326321,-0.012783172,-0.003195793,-0.563834488,0.378283858,9.381679535
3271.826189450,-0.006391586,-0.005326321,-0.002130529,-0.563834488,0.378283858,9.381679535
3271.828167686,-0.010652643,-0.004261057,0.004261057,-0.553060591,0.384269387,9.312247276
3271.830271799,-0.010652643,-0.005326321,-0.005326321,-0.553060591,0.384269387,9.312247276
3271.832162633,0.005326321,0.008522115,-0.001065264,-0.553060591,0.384269387,9.312247276
3271.834088478,0.002130529,-0.019174758,-0.004261057,-0.547075093,0.372298360,9.372102737
3271.836144149,-0.014913701,-0.004261057,0.007456850,-0.547075093,0.372298360,9.372102737
3271.838130908,-0.002130529,-0.008522115,-0.007456850,-0.562637389,0.371101260,9.336189270
3271.840105487,-0.006391586,-0.004261057,-0.001065264,-0.562637389,0.371101260,9.336189270
3271.842167518,-0.009587379,0.003195793,0.005326321,-0.560243189,0.412999779,9.309853554
3271.843951878,-0.003195793,-0.010652643,0.001065264,-0.560243189,0.412999779,9.309853554
3271.845957821,-0.002130529,-0.012783172,-0.006391586,-0.560243189,0.412999779,9.309853554
3271.847874274,-0.012783172,-0.008522115,0.006391586,-0.565031588,0.409408480,9.375694275
3271.850573044,-0.012783172,-0.008522115,0.006391586,-0.565031588,0.409408480,9.375694275
3271.852270995,-0.008522115,-0.012783172,-0.003195793,-0.548272192,0.386663586,9.306262016
3271.854268122,-0.010652643,-0.010652643,0.000000000,-0.548272192,0.386663586,9.306262016
3271.856161531,-0.002130529,-0.010652643,-0.001065264,-0.548272192,0.386663586,9.306262016
3271.858390453,-0.013848436,-0.008522115,0.001065264,-0.548272192,0.379480958,9.294290543
3271.860244655,-0.009587379,0.003195793,0.004261057,-0.548272192,0.379480958,9.294290543
3271.861957419,-0.001065264,-0.012783172,-0.004261057,-0.553060591,0.379480958,9.412803650
3271.863917725,-0.004261057,-0.004261057,-0.006391586,-0.553060591,0.379480958,9.412803650
3271.866157447,-0.003195793,-0.009587379,-0.004261057,-0.553060591,0.379480958,9.412803650
3271.868009362,0.000000000,-0.017044229,-0.005326321,-0.549469292,0.393846184,9.360131264
3271.869644362,0.003195793,-0.002130529,0.000000000,-0.549469292,0.393846184,9.360131264
3271.871564201,-0.008522115,-0.001065264,0.002130529,-0.567425787,0.379480958,9.294290543
3271.873901974,-0.015978964,-0.003195793,0.003195793,-0.567425787,0.379480958,9.294290543
3271.876236343,-0.003195793,-0.012783172,-0.004261057,-0.567425787,0.379480958,9.294290543
3271.878040595,-0.020240022,-0.012783172,-0.003195793,-0.536301196,0.366312861,9.317035675
3271.880034184,-0.013848436,-0.012783172,0.006391586,-0.536301196,0.366312861,9.317035675
3271.882133483,-0.009587379,-0.009587379,-0.010652643,-0.542286694,0.387860686,9.330204010
3271.884059346,-0.004261057,-0.011717907,0.002130529,-0.542286694,0.387860686,9.330204010
3271.886273308,-0.005326321,-0.020240022,-0.011717907,-0.542286694,0.387860686,9.330204010
3271.888042335,-0.008522115,-0.008522115,0.006391586,-0.554257691,0.414196908,9.326612473
3271.890236253,-0.009587379,-0.009587379,0.005326321,-0.554257691,0.414196908,9.326612473
3271.892039660,0.000000000,-0.014913701,-0.011717907,-0.584185243,0.378283858,9.345766068
3271.894058759,-0.010652643,-0.010652643,-0.009587379,-0.584185243,0.378283858,9.345766068
3271.896096878,-0.003195793,-0.010652643,0.002130529,-0.584185243,0.378283858,9.345766068
3271.898054525,-0.004261057,-0.010652643,-0.010652643,-0.545877993,0.393846184,9.351752281
3271.900517768,-0.009587379,0.004261057,0.007456850,-0.545877993,0.393846184,9.351752281
3271.902247111,0.004261057,-0.005326321,-0.002130529,-0.543483794,0.371101260,9.306262016
3271.904133966,0.004261057,-0.007456850,0.003195793,-0.543483794,0.371101260,9.306262016
3271.906196854,-0.012783172,-0.008522115,0.003195793,-0.543483794,0.371101260,9.306262016
3271.907981989,0.000000000,0.007456850,0.011717907,-0.585382342,0.362721562,9.364919662
3271.909959545,-0.010652643,-0.004261057,-0.006391586,-0.585382342,0.362721562,9.364919662
3271.912011505,-0.006391586,-0.014913701,-0.008522115,-0.599747539,0.372298360,9.307458878
3271.913979295,-0.014913701,-0.010652643,-0.009587379,-0.599747539,0.372298360,9.307458878
3271.916382674,0.009587379,-0.017044229,-0.003195793,-0.599747539,0.372298360,9.307458878
3271.918155403,-0.012783172,-0.006391586,-0.004261057,-0.544680893,0.390254885,9.326612473
3271.920274749,-0.006391586,-0.007456850,0.000000000,-0.544680893,0.390254885,9.326612473
3271.922089292,-0.005326321,-0.010652643,-0.004261057,-0.545877993,0.398634583,9.397241592
3271.924047912,0.000000000,-0.003195793,0.003195793,-0.545877993,0.398634583,9.397241592
3271.926062571,-0.013848436,0.003195793,-0.009587379,-0.545877993,0.398634583,9.397241592
3271.928187681,-0.010652643,-0.008522115,-0.005326321,-0.559046090,0.392649084,9.333795547
3271.930014771,0.004261057,-0.009587379,0.004261057,-0.559046090,0.392649084,9.333795547
3271.932007415,0.006391586,-0.012783172,0.005326321,-0.537498295,0.391451985,9.358934402
3271.934223301,-0.003195793,-0.002130529,0.000000000,-0.537498295,0.391451985,9.358934402
3271.936088436,-0.001065264,-0.015978964,-0.011717907,-0.537498295,0.391451985,9.358934402
3271.938248749,0.004261057,-0.014913701,-0.008522115,-0.555454791,0.362721562,9.336189270
3271.940197263,0.002130529,-0.011717907,0.005326321,-0.555454791,0.362721562,9.336189270
3271.942007802,-0.007456850,-0.009587379,0.002130529,-0.568622887,0.393846184,9.251194954
3271.944052297,-0.001065264,-0.014913701,-0.006391586,-0.568622887,0.393846184,9.251194954
3271.946048150,-0.010652643,-0.005326321,0.000000000,-0.568622887,0.393846184,9.251194954
3271.948154742,-0.013848436,-0.011717907,0.000000000,-0.560243189,0.403422982,9.325415611
3271.950160597,0.013848436,-0.010652643,0.002130529,-0.560243189,0.403422982,9.325415611
