t_s,interval_ms,dropout
0.001005,1.004555,0
0.002525,1.520156,0
0.004988,2.463358,0
0.007093,2.105219,0
0.008996,1.902495,0
0.010960,1.964252,0
0.012670,1.710157,0
0.014967,2.296568,0
0.016911,1.943849,0
0.018503,1.592641,0
0.020977,2.473533,0
0.022572,1.595425,0
0.024986,2.414035,0
0.026955,1.968681,0
0.029073,2.118399,0
0.031025,1.951438,0
0.032711,1.686652,0
0.034995,2.283438,0
0.036897,1.902322,0
0.038994,2.097024,0
0.040968,1.973391,0
0.042673,1.705827,0
0.044709,2.035490,0
0.046905,2.195792,0
0.048916,2.010973,0
0.050995,2.079042,0
0.052591,1.596571,0
0.055006,2.415048,0
0.056881,1.874380,0
0.058995,2.114780,0
0.061008,2.012730,0
0.062670,1.661892,0
0.064973,2.303214,0
0.067037,2.063934,0
0.069079,2.041408,0
0.071076,1.997171,0
0.072687,1.611278,0
0.075112,2.424504,0
0.077092,1.980694,0
0.079141,2.048567,0
0.081103,1.962336,0
0.082839,1.736073,0
0.085032,2.192230,0
0.087132,2.100445,0
0.089111,1.979132,0
0.091110,1.998707,0
0.092734,1.623902,0
0.094955,2.221563,0
0.097093,2.137641,0
0.098999,1.906486,0
0.101061,2.061797,0
0.102695,1.634303,0
0.104931,2.235658,0
0.106891,1.960015,0
0.108998,2.106423,0
0.111413,2.415819,0
0.113058,1.645002,0
0.114980,1.921458,0
0.116948,1.967936,0
0.118986,2.037899,0
0.120966,1.980178,0
0.122674,1.708330,0
0.124940,2.265396,0
0.126869,1.929208,0
0.128730,1.861436,0
0.130928,2.197301,0
0.132669,1.741792,0
0.135019,2.349428,0
0.136940,1.921544,0
0.138840,1.899233,0
0.140967,2.127074,0
0.142675,1.708618,0
0.144979,2.303556,0
0.146936,1.957301,0
0.148932,1.995643,0
0.150958,2.026355,0
0.152667,1.708580,0
0.154998,2.330953,0
0.156971,1.973469,0
0.158972,2.000481,0
0.161012,2.040500,0
0.162643,1.630784,0
0.164979,2.336359,0
0.166867,1.887950,0
0.168999,2.131707,0
0.170867,1.868144,0
0.172683,1.815634,0
0.174792,2.109152,0
0.176870,2.078612,0
0.178923,2.052791,0
0.180928,2.004688,0
0.182455,1.527314,0
0.184994,2.539276,0
0.187078,2.083996,0
0.188940,1.861672,0
0.191014,2.074199,0
0.192667,1.652720,0
0.194970,2.302526,0
0.196851,1.881594,0
0.198977,2.125585,0
0.200918,1.941084,0
0.202660,1.741845,0
0.204926,2.266438,0
0.206903,1.976863,0
0.208915,2.011829,0
0.210919,2.004628,0
0.212631,1.711225,0
0.215001,2.370566,0
0.216943,1.942147,0
0.219002,2.058607,0
0.221011,2.009206,0
0.222668,1.656320,0
0.224979,2.311237,0
0.226927,1.947966,0
0.228959,2.032192,0
0.230975,2.016224,0
0.232635,1.659491,0
0.235011,2.376370,0
0.236950,1.939138,0
0.238968,2.017624,0
0.240984,2.015725,0
0.242661,1.677850,0
0.244963,2.301287,0
0.246900,1.937422,0
0.249021,2.120715,0
0.250970,1.948943,0
0.252672,1.702344,0
0.254983,2.310538,0
0.256947,1.964161,0
0.258966,2.019279,0
0.260961,1.994563,0
0.262663,1.702439,0
0.265033,2.370302,0
0.266911,1.877543,0
0.268978,2.067526,0
0.270932,1.953928,0
0.272682,1.749301,0
