width_ms,rep,t_ms,tau
2,0,1.836336,0.148430
2,0,3.104707,0.049477
2,0,5.411292,0.049477
2,0,7.266201,0.000000
2,0,9.383146,-0.272121
2,0,11.239741,0.222645
2,0,13.389147,0.000000
2,0,15.387992,-0.123691
2,0,17.407347,-0.024738
2,0,19.421020,0.049477
2,0,21.417796,0.074215
2,0,23.454125,0.074215
2,0,25.491798,0.074215
2,0,27.427475,0.049477
2,0,29.342594,0.049477
2,0,31.319132,0.074215
2,0,33.464295,0.024738
2,0,35.545594,0.049477
2,0,37.486748,0.074215
2,0,39.364226,0.049477
2,0,41.445172,0.074215
2,0,43.443869,0.123691
2,0,45.605283,0.123691
2,0,47.425024,0.024738
2,0,49.470126,0.123691
2,0,51.630401,0.000000
2,0,53.451858,0.123691
2,0,55.449209,0.049477
2,0,57.395196,0.024738
2,0,59.375877,0.049477
2,0,61.396344,0.049477
2,1,0.115062,0.000000
2,1,2.128958,0.000000
2,1,4.094370,0.049477
2,1,6.149130,0.123691
2,1,8.144661,0.049477
2,1,10.006572,0.074215
2,1,12.341413,0.049477
2,1,14.224234,0.049477
2,1,16.317176,0.074215
2,1,18.098412,0.123691
2,1,20.353087,0.123691
2,1,22.208254,0.148430
2,1,24.311415,0.123691
2,1,26.253085,0.123691
2,1,28.260317,0.074215
2,1,30.290791,0.024738
2,1,32.283743,0.049477
2,1,34.115519,0.049477
2,1,36.216060,0.000000
2,1,38.051710,0.049477
2,1,39.967446,0.049477
2,1,42.065442,0.049477
2,1,43.994036,0.049477
2,1,45.957326,0.049477
2,1,48.007174,0.123691
2,1,50.059331,0.074215
2,1,51.966109,0.024738
2,1,53.998332,0.024738
2,1,55.932412,0.074215
2,1,57.949532,0.024738
2,1,59.950979,0.074215
2,1,61.963463,0.000000
2,2,1.009003,0.123691
2,2,3.470454,0.049477
2,2,5.180593,0.074215
2,2,7.146144,-0.272121
2,2,9.062011,0.321598
2,2,11.167824,-0.024738
2,2,13.179918,-0.024738
2,2,15.201733,0.000000
2,2,16.891307,0.024738
2,2,18.891176,0.000000
2,2,20.975402,0.024738
2,2,23.174603,0.049477
2,2,25.221149,0.074215
2,2,27.120213,0.074215
2,2,29.162364,0.074215
2,2,30.988526,0.074215
2,2,32.943892,0.049477
2,2,34.926158,0.049477
2,2,37.116142,0.049477
2,2,38.943438,0.024738
2,2,41.118981,0.049477
2,2,42.906751,0.024738
2,2,45.030793,0.049477
2,2,46.978457,0.024738
2,2,49.143748,0.123691
2,2,51.083255,0.074215
2,2,53.169073,0.024738
2,2,55.206329,0.074215
2,2,56.933337,0.074215
2,2,58.971423,0.024738
2,2,60.904050,0.049477
2,3,0.305969,0.049477
2,3,2.380625,0.049477
2,3,4.346998,0.123691
2,3,6.510154,-0.321598
2,3,8.536821,0.247383
2,3,10.506769,0.074215
2,3,12.526200,-0.049477
2,3,14.206963,0.000000
2,3,16.318653,0.024738
2,3,18.319530,0.074215
2,3,20.229535,0.074215
2,3,22.497855,0.074215
2,3,24.470425,0.049477
2,3,26.244406,0.024738
2,3,28.254659,0.049477
2,3,30.277782,0.049477
2,3,32.217109,0.074215
2,3,34.300500,0.074215
2,3,36.272565,0.024738
2,3,38.532877,0.123691
2,3,40.550828,0.000000
2,3,42.398453,0.148430
2,3,44.423740,0.074215
2,3,46.540077,0.049477
2,3,48.187575,0.074215
2,3,50.387376,0.024738
2,3,52.545584,0.024738
2,3,54.324768,0.024738
2,3,56.265909,0.074215
2,3,58.321300,0.049477
2,3,60.202502,0.049477
2,3,62.242982,0.024738
2,4,1.424294,0.049477
2,4,3.683022,0.074215
2,4,5.532020,-0.024738
2,4,7.560975,-0.321598
2,4,9.279708,0.247383
2,4,11.343727,-0.024738
2,4,13.268877,-0.049477
2,4,15.419852,-0.049477
2,4,17.417607,0.000000
2,4,19.356985,-0.024738
2,4,21.415668,0.024738
2,4,23.471563,0.000000
2,4,25.519266,0.049477
2,4,27.164757,0.049477
2,4,29.225282,0.074215
2,4,31.206352,-0.024738
2,4,33.207207,0.024738
2,4,35.251371,0.024738
2,4,37.223355,0.000000
2,4,39.220024,0.049477
2,4,41.363818,0.024738
2,4,43.531729,0.049477
2,4,45.354938,0.024738
2,4,47.507643,0.074215
2,4,49.475989,0.049477
2,4,51.341484,0.049477
2,4,53.456886,0.123691
2,4,55.553670,0.123691
2,4,57.570213,0.074215
2,4,59.210861,0.024738
2,4,61.398631,0.173168
2,5,0.263292,0.074215
2,5,2.369305,0.074215
2,5,4.351794,0.074215
2,5,6.592707,0.123691
2,5,8.407750,0.049477
2,5,10.397661,0.024738
2,5,12.417824,0.024738
2,5,14.592129,0.123691
2,5,16.260796,0.123691
2,5,18.392337,0.024738
2,5,20.264128,0.074215
2,5,22.470680,0.074215
2,5,24.575089,0.123691
2,5,26.403322,0.024738
2,5,28.603942,0.148430
2,5,30.423501,0.123691
2,5,32.360253,0.074215
2,5,34.592192,0.049477
2,5,36.281087,0.123691
2,5,38.398981,0.123691
2,5,40.398117,0.148430
2,5,42.508510,0.123691
2,5,44.543841,0.123691
2,5,46.561474,0.049477
2,5,48.292457,0.049477
2,5,50.570999,0.074215
2,5,52.488773,0.049477
2,5,54.397404,0.049477
2,5,56.258913,0.049477
2,5,58.523413,0.049477
2,5,60.521972,0.049477
2,5,62.514266,0.074215
2,6,1.288987,0.123691
2,6,3.296401,0.123691
2,6,5.299460,0.074215
2,6,7.111993,-0.321598
2,6,9.365967,-0.321598
2,6,11.109048,-0.049477
2,6,13.296456,-0.049477
2,6,15.104014,0.024738
2,6,17.186847,0.049477
2,6,19.309174,0.024738
2,6,21.295412,0.049477
2,6,23.333202,0.000000
2,6,25.134757,0.049477
2,6,27.327509,0.074215
2,6,29.126614,0.049477
2,6,31.110510,0.024738
2,6,33.451377,0.024738
2,6,35.236172,0.049477
2,6,37.386284,0.074215
2,6,39.307853,0.024738
2,6,41.382785,0.024738
2,6,43.412435,0.024738
2,6,45.217013,0.000000
2,6,47.245000,0.074215
2,6,49.354120,0.024738
2,6,51.262271,0.024738
2,6,53.218104,-0.024738
2,6,55.109372,-0.024738
2,6,57.083792,0.049477
2,6,59.294000,0.000000
2,6,61.417554,0.074215
2,7,0.646357,0.049477
2,7,2.505397,0.049477
2,7,4.902796,0.000000
2,7,6.704193,0.123691
2,7,8.898740,0.000000
