t_sys,force_FR,force_est_FR,force_FL,force_est_FL,force_RR,force_est_RR,force_RL,force_est_RL
4412.524001,116,0,128,0,141,0,140,0
4412.525938,116,0,128,0,141,0,140,0
4412.527950,116,0,128,0,141,0,140,0
4412.529908,116,0,128,0,141,0,140,0
4412.531676,116,0,128,0,141,0,140,0
4412.533814,116,0,128,0,141,0,140,0
4412.536086,116,0,128,0,141,0,140,0
4412.537990,116,0,128,0,141,0,140,0
4412.539912,116,0,128,0,141,0,140,0
4412.542049,116,0,128,0,141,0,140,0
4412.544066,116,0,128,0,141,0,140,0
4412.546003,116,0,128,0,141,0,140,0
4412.548103,116,0,128,0,141,0,140,0
4412.550092,116,0,128,0,141,0,140,0
4412.552104,116,0,128,0,141,0,140,0
4412.554156,116,0,128,0,141,0,140,0
4412.556534,116,0,128,0,141,0,140,0
4412.558827,116,0,128,0,141,0,140,0
4412.560827,116,0,128,0,141,0,140,0
4412.562841,116,0,128,0,141,0,140,0
4412.564409,116,0,128,0,141,0,140,0
4412.566854,116,0,128,0,141,0,140,0
4412.568849,116,0,128,0,141,0,140,0
4412.569968,116,0,128,0,141,0,140,0
4412.572597,116,0,128,0,141,0,140,0
4412.574747,116,0,128,0,141,0,140,0
4412.576747,116,0,128,0,141,0,140,0
4412.578725,116,0,128,0,141,0,140,0
4412.580431,116,0,128,0,141,0,140,0
4412.582609,116,0,128,0,141,0,140,0
4412.584418,116,0,128,0,141,0,140,0
4412.586212,116,0,128,0,141,0,140,0
4412.588389,116,0,128,0,141,0,140,0
4412.590575,116,0,128,0,141,0,140,0
4412.592625,116,0,128,0,141,0,140,0
4412.594779,116,0,128,0,141,0,140,0
4412.596688,116,0,128,0,141,0,140,0
4412.598658,116,0,128,0,141,0,140,0
4412.600776,116,0,128,0,141,0,140,0
4412.602383,116,0,128,0,141,0,140,0
4412.604273,116,0,128,0,141,0,140,0
4412.606359,116,0,128,0,141,0,140,0
4412.608232,116,0,128,0,141,0,140,0
4412.610358,116,0,128,0,141,0,140,0
4412.612374,116,0,128,0,141,0,140,0
4412.614437,116,0,128,0,141,0,140,0
4412.616481,116,0,128,0,141,0,140,0
4412.618417,116,0,128,0,141,0,140,0
4412.620559,116,0,128,0,141,0,140,0
4412.622409,116,0,128,0,141,0,140,0
4412.624384,116,0,128,0,141,0,140,0
4412.626431,116,0,128,0,141,0,140,0
4412.628425,116,0,128,0,141,0,140,0
4412.630654,116,0,128,0,141,0,140,0
4412.632433,116,0,128,0,141,0,140,0
4412.634115,116,0,128,0,141,0,140,0
4412.636371,116,0,128,0,141,0,140,0
4412.638466,116,0,128,0,141,0,140,0
4412.640441,116,0,128,0,141,0,140,0
4412.642495,116,0,128,0,141,0,140,0
4412.644364,116,0,128,0,141,0,140,0
4412.646587,116,0,128,0,141,0,140,0
4412.648300,116,0,128,0,141,0,140,0
4412.650409,116,0,128,0,141,0,140,0
4412.652179,116,0,128,0,141,0,140,0
4412.654586,116,0,128,0,141,0,140,0
4412.656479,116,0,128,0,141,0,140,0
4412.658397,116,0,128,0,141,0,140,0
4412.660267,116,0,128,0,141,0,140,0
4412.662202,116,0,128,0,141,0,140,0
4412.664289,116,0,128,0,141,0,140,0
4412.666304,116,0,128,0,141,0,140,0
4412.668472,116,0,128,0,141,0,140,0
4412.670496,116,0,128,0,141,0,140,0
4412.672663,116,0,128,0,141,0,140,0
4412.674419,116,0,128,0,141,0,140,0
4412.676454,116,0,128,0,141,0,140,0
4412.678412,116,0,128,0,141,0,140,0
4412.680231,116,0,128,0,141,0,140,0
4412.682498,116,0,128,0,141,0,140,0
4412.684387,116,0,128,0,141,0,140,0
4412.686619,116,0,128,0,141,0,140,0
4412.688652,116,0,128,0,141,0,140,0
4412.690445,116,0,128,0,141,0,140,0
4412.692748,116,0,128,0,141,0,140,0
4412.694455,116,0,128,0,141,0,140,0
4412.696476,116,0,128,0,141,0,140,0
4412.698307,116,0,128,0,141,0,140,0
4412.700227,116,0,128,0,141,0,140,0
4412.702611,116,0,128,0,141,0,140,0
4412.703989,116,0,128,0,141,0,140,0
4412.706708,116,0,128,0,141,0,140,0
4412.708624,116,0,128,0,141,0,140,0
4412.710751,116,0,128,0,141,0,140,0
4412.712624,116,0,128,0,141,0,140,0
4412.714364,116,0,128,0,141,0,140,0
4412.716260,116,0,128,0,141,0,140,0
4412.718221,116,0,128,0,141,0,140,0
4412.719982,116,0,128,0,141,0,140,0
4412.722096,116,0,128,0,141,0,140,0
4412.724071,116,0,128,0,141,0,140,0
4412.726077,116,0,128,0,141,0,140,0
4412.728218,116,0,128,0,141,0,140,0
4412.730115,116,0,128,0,141,0,140,0
4412.731984,116,0,128,0,141,0,140,0
4412.733984,116,0,128,0,141,0,140,0
4412.735903,116,0,128,0,141,0,140,0
4412.738115,116,0,128,0,141,0,140,0
4412.739965,116,0,128,0,141,0,140,0
4412.742051,116,0,128,0,141,0,140,0
4412.744131,116,0,128,0,141,0,140,0
4412.746073,116,0,128,0,141,0,140,0
4412.747867,116,0,128,0,141,0,140,0
4412.749874,116,0,128,0,141,0,140,0
4412.751870,116,0,128,0,141,0,140,0
4412.754095,116,0,128,0,141,0,140,0
4412.756035,116,0,128,0,141,0,140,0
4412.758114,116,0,128,0,141,0,140,0
4412.760135,116,0,128,0,141,0,140,0
4412.762144,116,0,128,0,141,0,140,0
4412.763934,116,0,128,0,141,0,140,0
4412.765888,116,0,128,0,141,0,140,0
4412.767917,116,0,128,0,141,0,140,0
4412.770048,116,0,128,0,141,0,140,0
4412.772093,116,0,128,0,141,0,140,0
4412.774089,116,0,128,0,141,0,140,0
4412.776226,116,0,128,0,141,0,140,0
4412.778261,116,0,128,0,141,0,140,0
4412.780256,116,0,128,0,141,0,140,0
4412.782256,116,0,128,0,141,0,140,0
4412.784258,116,0,128,0,141,0,140,0
4412.786307,116,0,128,0,141,0,140,0
4412.788165,116,0,128,0,141,0,140,0
4412.790167,116,0,128,0,141,0,140,0
4412.792087,116,0,128,0,141,0,140,0
4412.794069,116,0,128,0,141,0,140,0
4412.796133,116,0,128,0,141,0,140,0
4412.798052,116,0,128,0,141,0,140,0
4412.800048,116,0,128,0,141,0,140,0
4412.802066,116,0,128,0,141,0,140,0
4412.804055,116,0,128,0,141,0,140,0
4412.805937,116,0,128,0,141,0,140,0
4412.808049,116,0,128,0,141,0,140,0
4412.809936,116,0,128,0,141,0,140,0
4412.812047,116,0,128,0,141,0,140,0
4412.813841,116,0,128,0,141,0,140,0
4412.816156,116,0,128,0,141,0,140,0
4412.817964,116,0,128,0,141,0,140,0
4412.819944,116,0,128,0,141,0,140,0
4412.822094,116,0,128,0,141,0,140,0
4412.824088,116,0,128,0,141,0,140,0
4412.826065,116,0,128,0,141,0,140,0
4412.828147,116,0,128,0,141,0,140,0
4412.830151,116,0,128,0,141,0,140,0
4412.832047,116,0,128,0,141,0,140,0
4412.834148,116,0,128,0,141,0,140,0
4412.836180,116,0,128,0,141,0,140,0
4412.838086,116,0,128,0,141,0,140,0
4412.840072,116,0,128,0,141,0,140,0
4412.841941,116,0,128,0,141,0,140,0
4412.844098,116,0,128,0,141,0,140,0
4412.846077,116,0,128,0,141,0,140,0
4412.848145,116,0,128,0,141,0,140,0
4412.850151,116,0,128,0,141,0,140,0
4412.852159,116,0,128,0,141,0,140,0
4412.854063,116,0,128,0,141,0,140,0
4412.856049,116,0,128,0,141,0,140,0
4412.858072,116,0,128,0,141,0,140,0
4412.859942,116,0,128,0,141,0,140,0
4412.862067,116,0,128,0,141,0,140,0
4412.864156,116,0,128,0,141,0,140,0
4412.866154,116,0,128,0,141,0,140,0
4412.868129,116,0,128,0,141,0,140,0
4412.870126,116,0,128,0,141,0,140,0
4412.872128,116,0,128,0,141,0,140,0
4412.874143,116,0,128,0,141,0,140,0
4412.876145,116,0,128,0,141,0,140,0
4412.877933,116,0,128,0,141,0,140,0
4412.880046,116,0,128,0,141,0,140,0
4412.882438,116,0,128,0,141,0,140,0
4412.884159,116,0,128,0,141,0,140,0
4412.886206,116,0,128,0,141,0,140,0
4412.888170,116,0,128,0,141,0,140,0
4412.890156,116,0,128,0,141,0,140,0
4412.892168,116,0,128,0,141,0,140,0
4412.894042,116,0,128,0,141,0,140,0
4412.895933,116,0,128,0,141,0,140,0
4412.898294,116,0,128,0,141,0,140,0
4412.900103,116,0,128,0,141,0,140,0
4412.902093,116,0,128,0,141,0,140,0
4412.903807,116,0,128,0,141,0,140,0
4412.906070,116,0,128,0,141,0,140,0
4412.908083,116,0,128,0,141,0,140,0
4412.910244,116,0,128,0,141,0,140,0
4412.912155,116,0,128,0,141,0,140,0
4412.914037,116,0,128,0,141,0,140,0
4412.916229,116,0,128,0,141,0,140,0
4412.918160,116,0,128,0,141,0,140,0
4412.920158,116,0,128,0,141,0,140,0
4412.921936,116,0,128,0,141,0,140,0
4412.924004,116,0,128,0,141,0,140,0
4412.926189,116,0,128,0,141,0,140,0
4412.928171,116,0,128,0,141,0,140,0
4412.930114,116,0,128,0,141,0,140,0
4412.932192,116,0,128,0,141,0,140,0
4412.934020,116,0,128,0,141,0,140,0
4412.936014,116,0,128,0,141,0,140,0
4412.937989,116,0,128,0,141,0,140,0
4412.939889,116,0,128,0,141,0,140,0
4412.941927,116,0,128,0,141,0,140,0
4412.943983,116,0,128,0,141,0,140,0
4412.945992,116,0,128,0,141,0,140,0
4412.947962,116,0,128,0,141,0,140,0
4412.949951,116,0,128,0,141,0,140,0
4412.951940,116,0,128,0,141,0,140,0
4412.953950,116,0,128,0,141,0,140,0
4412.955978,116,0,128,0,141,0,140,0
4412.957966,116,0,128,0,141,0,140,0
4412.960052,116,0,128,0,141,0,140,0
4412.962007,116,0,128,0,141,0,140,0
4412.964009,116,0,128,0,141,0,140,0
4412.965980,116,0,128,0,141,0,140,0
4412.968033,116,0,128,0,141,0,140,0
4412.969942,116,0,128,0,141,0,140,0
4412.971923,116,0,128,0,141,0,140,0
4412.973919,116,0,128,0,141,0,140,0
4412.975860,116,0,128,0,141,0,140,0
4412.978280,116,0,128,0,141,0,140,0
4412.980233,116,0,128,0,141,0,140,0
4412.982344,116,0,128,0,141,0,140,0
4412.984232,116,0,128,0,141,0,140,0
4412.986250,116,0,128,0,141,0,140,0
4412.988224,116,0,128,0,141,0,140,0
4412.990096,116,0,128,0,141,0,140,0
4412.992232,116,0,128,0,141,0,140,0
4412.994060,116,0,128,0,141,0,140,0
4412.996256,116,0,128,0,141,0,140,0
4412.998217,116,0,128,0,141,0,140,0
4413.000220,116,0,128,0,141,0,140,0
4413.002238,116,0,128,0,141,0,140,0
4413.003892,116,0,128,0,141,0,140,0
4413.006321,116,0,128,0,141,0,140,0
4413.008276,116,0,128,0,141,0,140,0
4413.010307,116,0,128,0,141,0,140,0
4413.012063,116,0,128,0,141,0,140,0
4413.014177,116,0,128,0,141,0,140,0
4413.016261,116,0,128,0,141,0,140,0
4413.018284,116,0,128,0,141,0,140,0
4413.020227,116,0,128,0,141,0,140,0
4413.022251,116,0,128,0,141,0,140,0
4413.024281,116,0,128,0,141,0,140,0
4413.026201,116,0,128,0,141,0,140,0
4413.028268,116,0,128,0,141,0,140,0
4413.030006,116,0,128,0,141,0,140,0
4413.032030,116,0,128,0,141,0,140,0
4413.034156,116,0,128,0,141,0,140,0
4413.036205,116,0,128,0,141,0,140,0
4413.038103,116,0,128,0,141,0,140,0
4413.040157,116,0,128,0,141,0,140,0
4413.042121,116,0,128,0,141,0,140,0
4413.044094,116,0,128,0,141,0,140,0
4413.046144,116,0,128,0,141,0,140,0
4413.048103,116,0,128,0,141,0,140,0
4413.050145,116,0,128,0,141,0,140,0
4413.052101,116,0,128,0,141,0,140,0
4413.054095,116,0,128,0,141,0,140,0
4413.056111,116,0,128,0,141,0,140,0
4413.058168,116,0,128,0,141,0,140,0
4413.060352,116,0,128,0,141,0,140,0
4413.062262,116,0,128,0,141,0,140,0
4413.064094,116,0,128,0,141,0,140,0
4413.066106,116,0,128,0,141,0,140,0
4413.068152,116,0,128,0,141,0,140,0
4413.070146,116,0,128,0,141,0,140,0
4413.072146,116,0,128,0,141,0,140,0
4413.074089,116,0,128,0,141,0,140,0
4413.076128,116,0,128,0,141,0,140,0
4413.078321,116,0,128,0,141,0,140,0
4413.080291,116,0,128,0,141,0,140,0
4413.082447,116,0,128,0,141,0,140,0
4413.084096,116,0,128,0,141,0,140,0
4413.086357,116,0,128,0,141,0,140,0
4413.088312,116,0,128,0,141,0,140,0
4413.090046,116,0,128,0,141,0,140,0
4413.092311,116,0,128,0,141,0,140,0
4413.094258,116,0,128,0,141,0,140,0
4413.096246,116,0,128,0,141,0,140,0
4413.098180,116,0,128,0,141,0,140,0
4413.100213,116,0,128,0,141,0,140,0
4413.102151,116,0,128,0,141,0,140,0
4413.104337,116,0,128,0,141,0,140,0
4413.106107,116,0,128,0,141,0,140,0
4413.108201,116,0,128,0,141,0,140,0
4413.110346,116,0,128,0,141,0,140,0
4413.112256,116,0,128,0,141,0,140,0
4413.114256,116,0,128,0,141,0,140,0
4413.116288,116,0,128,0,141,0,140,0
4413.118229,116,0,128,0,141,0,140,0
4413.120225,116,0,128,0,141,0,140,0
4413.122091,116,0,128,0,141,0,140,0
4413.123970,116,0,128,0,141,0,140,0
4413.126050,116,0,128,0,141,0,140,0
4413.128220,116,0,128,0,141,0,140,0
4413.129912,116,0,128,0,141,0,140,0
4413.132153,116,0,128,0,141,0,140,0
4413.134003,116,0,128,0,141,0,140,0
4413.136079,116,0,128,0,141,0,140,0
4413.138114,116,0,128,0,141,0,140,0
4413.140085,116,0,128,0,141,0,140,0
4413.142158,116,0,128,0,141,0,140,0
4413.144240,116,0,128,0,141,0,140,0
4413.146008,116,0,128,0,141,0,140,0
4413.148026,116,0,128,0,141,0,140,0
4413.150220,116,0,128,0,141,0,140,0
4413.152102,116,0,128,0,141,0,140,0
4413.154043,116,0,128,0,141,0,140,0
4413.156022,116,0,128,0,141,0,140,0
4413.158214,116,0,128,0,141,0,140,0
4413.160224,116,0,128,0,141,0,140,0
4413.162176,116,0,128,0,141,0,140,0
4413.164255,116,0,128,0,141,0,140,0
4413.166115,116,0,128,0,141,0,140,0
4413.168087,116,0,128,0,141,0,140,0
4413.170248,116,0,128,0,141,0,140,0
4413.171981,116,0,128,0,141,0,140,0
4413.173873,116,0,128,0,141,0,140,0
4413.176056,116,0,128,0,141,0,140,0
4413.178077,116,0,128,0,141,0,140,0
4413.180053,116,0,128,0,141,0,140,0
4413.182075,116,0,128,0,141,0,140,0
4413.184145,116,0,128,0,141,0,140,0
4413.185908,116,0,128,0,141,0,140,0
4413.187937,116,0,128,0,141,0,140,0
4413.189918,116,0,128,0,141,0,140,0
4413.192098,116,0,128,0,141,0,140,0
4413.194288,116,0,128,0,141,0,140,0
4413.196311,116,0,128,0,141,0,140,0
4413.198293,116,0,128,0,141,0,140,0
4413.200271,116,0,128,0,141,0,140,0
4413.202304,116,0,128,0,141,0,140,0
4413.204070,116,0,128,0,141,0,140,0
4413.206290,116,0,128,0,141,0,140,0
4413.208287,116,0,128,0,141,0,140,0
4413.210092,116,0,128,0,141,0,140,0
4413.212274,116,0,128,0,141,0,140,0
4413.214301,116,0,128,0,141,0,140,0
4413.216335,116,0,128,0,141,0,140,0
4413.218294,116,0,128,0,141,0,140,0
4413.220292,116,0,128,0,141,0,140,0
4413.222051,116,0,128,0,141,0,140,0
4413.224253,116,0,128,0,141,0,140,0
4413.226136,116,0,128,0,141,0,140,0
4413.228071,116,0,128,0,141,0,140,0
4413.230335,116,0,128,0,141,0,140,0
4413.232279,116,0,128,0,141,0,140,0
4413.234321,116,0,128,0,141,0,140,0
4413.236324,116,0,128,0,141,0,140,0
4413.238314,116,0,128,0,141,0,140,0
4413.240320,116,0,128,0,141,0,140,0
4413.242306,116,0,128,0,141,0,140,0
4413.244097,116,0,128,0,141,0,140,0
4413.246047,116,0,128,0,141,0,140,0
4413.248216,116,0,128,0,141,0,140,0
4413.250247,116,0,128,0,141,0,140,0
4413.252271,116,0,128,0,141,0,140,0
4413.254324,116,0,128,0,141,0,140,0
4413.256343,116,0,128,0,141,0,140,0
4413.258173,116,0,128,0,141,0,140,0
4413.260156,116,0,128,0,141,0,140,0
4413.262092,116,0,128,0,141,0,140,0
4413.264051,116,0,128,0,141,0,140,0
4413.266165,116,0,128,0,141,0,140,0
4413.268161,116,0,128,0,141,0,140,0
4413.270168,116,0,128,0,141,0,140,0
4413.272174,116,0,128,0,141,0,140,0
4413.274160,116,0,128,0,141,0,140,0
4413.276200,116,0,128,0,141,0,140,0
4413.278161,116,0,128,0,141,0,140,0
4413.280100,116,0,128,0,141,0,140,0
4413.282208,116,0,128,0,141,0,140,0
4413.284088,116,0,128,0,141,0,140,0
4413.286098,116,0,128,0,141,0,140,0
4413.288247,116,0,128,0,141,0,140,0
4413.290169,116,0,128,0,141,0,140,0
4413.292255,116,0,128,0,141,0,140,0
4413.294275,116,0,128,0,141,0,140,0
4413.296167,116,0,128,0,141,0,140,0
4413.298069,116,0,128,0,141,0,140,0
4413.300042,116,0,128,0,141,0,140,0
4413.302163,116,0,128,0,141,0,140,0
4413.304281,116,0,128,0,141,0,140,0
4413.306325,116,0,128,0,141,0,140,0
4413.308309,116,0,128,0,141,0,140,0
4413.310293,116,0,128,0,141,0,140,0
4413.312282,116,0,128,0,141,0,140,0
4413.314100,116,0,128,0,141,0,140,0
4413.316058,116,0,128,0,141,0,140,0
4413.318309,116,0,128,0,141,0,140,0
4413.320308,116,0,128,0,141,0,140,0
4413.322087,116,0,128,0,141,0,140,0
4413.324085,116,0,128,0,141,0,140,0
4413.325947,116,0,128,0,141,0,140,0
4413.328011,116,0,128,0,141,0,140,0
4413.329890,116,0,128,0,141,0,140,0
4413.332066,116,0,128,0,141,0,140,0
4413.334065,116,0,128,0,141,0,140,0
4413.336067,116,0,128,0,141,0,140,0
4413.338072,116,0,128,0,141,0,140,0
4413.340054,116,0,128,0,141,0,140,0
4413.342058,116,0,128,0,141,0,140,0
4413.344160,116,0,128,0,141,0,140,0
4413.345931,116,0,128,0,141,0,140,0
4413.348099,116,0,128,0,141,0,140,0
4413.350120,116,0,128,0,141,0,140,0
4413.352269,116,0,128,0,141,0,140,0
4413.354269,116,0,128,0,141,0,140,0
4413.356171,116,0,128,0,141,0,140,0
4413.358276,116,0,128,0,141,0,140,0
4413.360229,116,0,128,0,141,0,140,0
4413.362050,116,0,128,0,141,0,140,0
4413.364215,116,0,128,0,141,0,140,0
4413.366091,116,0,128,0,141,0,140,0
4413.368230,116,0,128,0,141,0,140,0
4413.370363,116,0,128,0,141,0,140,0
4413.372346,116,0,128,0,141,0,140,0
4413.374162,116,0,128,0,141,0,140,0
4413.376365,116,0,128,0,141,0,140,0
4413.378325,116,0,128,0,141,0,140,0
4413.380005,116,0,128,0,141,0,140,0
4413.382303,116,0,128,0,141,0,140,0
4413.384313,116,0,128,0,141,0,140,0
4413.386089,116,0,128,0,141,0,140,0
4413.388088,116,0,128,0,141,0,140,0
4413.390315,116,0,128,0,141,0,140,0
