t_sys,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z
7269.446815989,-0.001065264,-0.009587379,0.006391586,-0.797269166,0.410605580,9.313444138
7269.448774762,-0.012783172,-0.002130529,0.003195793,-0.780509770,0.389057785,9.388861656
7269.450373676,-0.003195793,-0.004261057,0.001065264,-0.780509770,0.389057785,9.388861656
7269.452694005,0.005326321,-0.005326321,-0.010652643,-0.760159016,0.393846184,9.356540680
7269.454581641,-0.003195793,-0.003195793,0.011717907,-0.760159016,0.393846184,9.356540680
7269.456304974,-0.002130529,-0.009587379,-0.004261057,-0.760159016,0.393846184,9.356540680
7269.458686973,-0.002130529,-0.007456850,-0.007456850,-0.772130072,0.422576606,9.348160744
7269.460676190,-0.004261057,-0.013848436,-0.006391586,-0.772130072,0.422576606,9.348160744
7269.462683173,-0.001065264,-0.010652643,0.001065264,-0.797269166,0.378283858,9.372102737
7269.464865916,-0.007456850,0.002130529,0.001065264,-0.797269166,0.378283858,9.372102737
7269.466867737,0.005326321,-0.011717907,-0.008522115,-0.797269166,0.378283858,9.372102737
7269.468933451,-0.011717907,-0.005326321,0.004261057,-0.784101069,0.392649084,9.284713745
7269.470921561,-0.005326321,-0.002130529,0.018109493,-0.784101069,0.392649084,9.284713745
7269.473307259,0.003195793,-0.007456850,-0.008522115,-0.768538773,0.433350503,9.350554466
7269.475314946,0.015978964,-0.025566343,-0.006391586,-0.768538773,0.433350503,9.350554466
7269.477068716,-0.003195793,-0.010652643,-0.002130529,-0.768538773,0.433350503,9.350554466
7269.479306199,0.001065264,-0.005326321,-0.021305285,-0.797269166,0.405817181,9.384073257
7269.481183622,0.003195793,0.000000000,0.004261057,-0.797269166,0.405817181,9.384073257
7269.483175732,0.006391586,-0.009587379,-0.010652643,-0.803254664,0.402225882,9.307458878
7269.485076273,-0.007456850,-0.017044229,-0.002130529,-0.803254664,0.402225882,9.307458878
7269.487264854,0.006391586,-0.001065264,-0.006391586,-0.803254664,0.402225882,9.307458878
7269.489132032,0.002130529,-0.007456850,-0.006391586,-0.798466265,0.398634583,9.364919662
7269.491272068,0.000000000,-0.008522115,-0.003195793,-0.798466265,0.398634583,9.364919662
7269.493089373,-0.005326321,-0.006391586,0.000000000,-0.782903969,0.399831682,9.303867340
7269.495305935,-0.014913701,0.000000000,-0.012783172,-0.782903969,0.399831682,9.303867340
7269.497094443,-0.003195793,-0.011717907,-0.007456850,-0.782903969,0.399831682,9.303867340
7269.499265075,-0.005326321,-0.002130529,-0.011717907,-0.769735873,0.390254885,9.340977669
7269.501098493,-0.006391586,-0.006391586,0.003195793,-0.769735873,0.390254885,9.340977669
7269.503254857,0.002130529,-0.012783172,0.002130529,-0.779312670,0.398634583,9.367314339
7269.505241418,0.004261057,-0.012783172,0.006391586,-0.779312670,0.398634583,9.367314339
