t_sys,force_FR,force_est_FR,force_FL,force_est_FL,force_RR,force_est_RR,force_RL,force_est_RL
4966.333108,104,0,112,0,133,0,132,0
4966.334740,104,0,112,0,133,0,132,0
4966.337146,104,0,112,0,133,0,132,0
4966.338838,104,0,112,0,133,0,132,0
4966.340799,104,0,112,0,133,0,132,0
4966.342868,104,0,112,0,133,0,132,0
4966.344869,104,0,112,0,133,0,132,0
4966.346795,104,0,112,0,133,0,132,0
4966.348747,104,0,112,0,133,0,132,0
4966.350955,104,0,112,0,133,0,132,0
4966.352813,104,0,112,0,133,0,132,0
4966.354970,104,0,112,0,133,0,132,0
4966.356978,104,0,112,0,133,0,132,0
4966.358985,104,0,112,0,133,0,132,0
4966.361037,104,0,112,0,133,0,132,0
4966.363034,104,0,112,0,133,0,132,0
4966.365036,104,0,112,0,133,0,132,0
4966.367137,104,0,112,0,133,0,132,0
4966.369304,104,0,112,0,133,0,132,0
4966.371298,104,0,112,0,133,0,132,0
4966.373470,104,0,112,0,133,0,132,0
4966.375199,104,0,112,0,133,0,132,0
4966.377106,104,0,112,0,133,0,132,0
4966.379295,104,0,112,0,133,0,132,0
4966.381314,104,0,112,0,133,0,132,0
4966.383255,104,0,112,0,133,0,132,0
4966.385256,104,0,112,0,133,0,132,0
4966.387254,104,0,112,0,133,0,132,0
4966.389271,104,0,112,0,133,0,132,0
4966.391282,104,0,112,0,133,0,132,0
4966.393267,104,0,112,0,133,0,132,0
4966.395337,104,0,112,0,133,0,132,0
4966.397359,104,0,112,0,133,0,132,0
4966.399333,104,0,112,0,133,0,132,0
4966.401322,104,0,112,0,133,0,132,0
4966.403240,104,0,112,0,133,0,132,0
4966.405255,104,0,112,0,133,0,132,0
4966.407303,104,0,112,0,133,0,132,0
4966.409252,104,0,112,0,133,0,132,0
4966.411029,104,0,112,0,133,0,132,0
4966.413312,104,0,112,0,133,0,132,0
4966.415286,104,0,112,0,133,0,132,0
4966.417340,104,0,112,0,133,0,132,0
4966.419335,104,0,112,0,133,0,132,0
4966.421325,104,0,112,0,133,0,132,0
4966.423289,104,0,112,0,133,0,132,0
4966.425273,104,0,112,0,133,0,132,0
4966.427251,104,0,112,0,133,0,132,0
4966.429201,104,0,112,0,133,0,132,0
4966.431288,104,0,112,0,133,0,132,0
4966.433305,104,0,112,0,133,0,132,0
4966.435300,104,0,112,0,133,0,132,0
4966.437307,104,0,112,0,133,0,132,0
4966.439291,104,0,112,0,133,0,132,0
4966.441314,104,0,112,0,133,0,132,0
4966.443228,104,0,112,0,133,0,132,0
4966.445027,104,0,112,0,133,0,132,0
4966.447391,104,0,112,0,133,0,132,0
4966.449341,104,0,112,0,133,0,132,0
