t_sys,quat_w,quat_x,quat_y,quat_z,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,rpy_r,rpy_p,rpy_y
4966.333108,0.98740900,0.00083278,-0.00784272,-0.15799102,0.00852211,0.00639159,0.00000000,0.02873042,-0.20470424,9.42836666,0.00412323,-0.01522538,-0.31735292
4966.334740,0.98740983,0.00083330,-0.00784231,-0.15798597,0.00532632,-0.01384844,-0.00319579,0.02873042,-0.20470424,9.42836666,0.00412405,-0.01522443,-0.31734270
4966.337146,0.98740858,0.00083505,-0.00786198,-0.15799275,-0.00213053,-0.01810949,-0.01278317,-0.07062895,-0.24420857,9.33259869,0.00413383,-0.01526271,-0.31735665
4966.338838,0.98740834,0.00084499,-0.00786315,-0.15799415,0.00958738,0.01278317,-0.00532632,-0.07062895,-0.24420857,9.33259869,0.00415387,-0.01526185,-0.31735960
4966.340799,0.98740846,0.00084195,-0.00785704,-0.15799385,0.00532632,-0.00958738,0.00000000,-0.13407530,-0.20709845,9.36372280,0.00414592,-0.01525076,-0.31735891
4966.342868,0.98740774,0.00084233,-0.00786620,-0.15799811,-0.00319579,-0.01065264,-0.00745685,-0.13407530,-0.20709845,9.36372280,0.00414962,-0.01526872,-0.31736764
4966.344869,0.98740846,0.00084440,-0.00786218,-0.15799314,-0.00213053,-0.00426106,0.00213053,-0.13407530,-0.20709845,9.36372280,0.00415237,-0.01526014,-0.31735751
4966.346795,0.98740792,0.00085185,-0.00786590,-0.15799654,0.01491370,-0.00958738,-0.01065264,-0.12449849,-0.12330139,9.40322685,0.00416831,-0.01526512,-0.31736457
4966.348747,0.98740566,0.00084146,-0.00786727,-0.15801072,-0.00319579,-0.00958738,-0.02130529,-0.12449849,-0.12330139,9.40322685,0.00414844,-0.01527106,-0.31739315
4966.350955,0.98740488,0.00084250,-0.00785991,-0.15801626,-0.01065264,0.00852211,0.00213053,-0.13287820,-0.16280572,9.37449646,0.00414826,-0.01525617,-0.31740436
4966.352813,0.98740304,0.00083404,-0.00786444,-0.15802728,-0.00319579,-0.01597896,-0.01278317,-0.13287820,-0.16280572,9.37449646,0.00413316,-0.01526774,-0.31742653
4966.354970,0.98740178,0.00082150,-0.00785789,-0.15803574,-0.01278317,0.00319579,-0.01278317,-0.13287820,-0.16280572,9.37449646,0.00410644,-0.01525874,-0.31744346
4966.356978,0.98740089,0.00081485,-0.00785167,-0.15804166,-0.02343581,-0.00213053,-0.01384844,-0.10893618,-0.17836803,9.39125633,0.00409143,-0.01524853,-0.31745529
4966.358985,0.98739874,0.00081299,-0.00785173,-0.15805495,-0.00106526,-0.01065264,-0.02130529,-0.10893618,-0.17836803,9.39125633,0.00408799,-0.01524917,-0.31748217
4966.361037,0.98739678,0.00081478,-0.00784541,-0.15806785,0.00745685,-0.00319579,-0.01278317,-0.04668693,-0.21787235,9.40921307,0.00408973,-0.01523607,-0.31750831
4966.363034,0.98739535,0.00082147,-0.00784491,-0.15807655,-0.00532632,-0.01810949,-0.00639159,-0.04668693,-0.21787235,9.40921307,0.00410291,-0.01523293,-0.31752604
4966.365036,0.98739344,0.00082598,-0.00785346,-0.15808773,0.00639159,-0.02450108,-0.01491370,-0.04668693,-0.21787235,9.40921307,0.00411470,-0.01524834,-0.31754881
