t_sys,q_FR_hip,dq_FR_hip,tau_FR_hip,q_FR_thigh,dq_FR_thigh,tau_FR_thigh,q_FR_calf,dq_FR_calf,tau_FR_calf,q_FL_hip,dq_FL_hip,tau_FL_hip,q_FL_thigh,dq_FL_thigh,tau_FL_thigh,q_FL_calf,dq_FL_calf,tau_FL_calf,q_RR_hip,dq_RR_hip,tau_RR_hip,q_RR_thigh,dq_RR_thigh,tau_RR_thigh,q_RR_calf,dq_RR_calf,tau_RR_calf,q_RL_hip,dq_RL_hip,tau_RL_hip,q_RL_thigh,dq_RL_thigh,tau_RL_thigh,q_RL_calf,dq_RL_calf,tau_RL_calf
4966.333108,-0.01699311,-0.05038181,0.59371877,0.73515272,-0.07363495,-1.73167968,-1.42420042,-0.02022013,6.25878525,0.03243464,0.00387552,-1.55851173,0.71453375,0.01550210,-0.89057815,-1.44377279,0.00606604,7.20708609,-0.07304192,-0.06975943,2.15223050,0.68815660,-0.00775105,1.48429692,-1.39799309,-0.01819811,6.82776594,0.06665337,-0.02712867,-1.48429692,0.70060062,0.01162657,2.32539845,-1.43574810,0.03235220,7.58640671
4966.334740,-0.01693255,0.03100419,0.59371877,0.73515272,-0.07363495,-1.73167968,-1.42418468,0.00202201,6.30620050,0.03240436,-0.04263076,-1.58325005,0.71453375,0.01550210,-0.89057815,-1.44375706,0.04044025,7.20708609,-0.07301164,0.00387552,2.15223050,0.68815660,-0.00775105,1.48429692,-1.39799309,-0.01617610,6.87518072,0.06671393,0.05425733,-1.45955861,0.70060062,0.01162657,2.32539845,-1.43574810,0.04448427,7.58640671
4966.337146,-0.01693255,0.03100419,0.59371877,0.73515272,-0.00775105,-1.70694149,-1.42420042,-0.01819811,6.30620050,0.03240436,-0.04263076,-1.58325005,0.71450347,-0.06200838,-0.94005471,-1.44377279,0.00606604,7.11225605,-0.07301164,0.00387552,2.15223050,0.68815660,0.00000000,1.48429692,-1.39799309,-0.02830817,6.82776594,0.06671393,0.05425733,-1.45955861,0.70060062,-0.00387552,2.32539845,-1.43574810,0.00202201,7.44416142
4966.338838,-0.01699311,-0.06200838,0.64319533,0.73521328,0.02325314,-1.80589461,-1.42420042,-0.02022013,6.21137047,0.03243464,0.00000000,-1.55851173,0.71450347,-0.06975943,-0.96479297,-1.44377279,0.00808805,7.11225605,-0.07301164,0.01550210,2.12749219,0.68815660,0.05813286,1.58325005,-1.39799309,-0.02628616,6.78035069,0.06668365,0.01937762,-1.45955861,0.70060062,0.00000000,2.32539845,-1.43576396,0.00808805,7.58640671
4966.340799,-0.01696283,0.00000000,0.59371877,0.73521328,0.05813286,-1.60798836,-1.42418468,0.00606604,6.30620050,0.03240436,-0.05038181,-1.58325005,0.71453375,-0.01550210,-0.94005471,-1.44377279,0.00808805,7.11225605,-0.07301164,0.02325314,2.15223050,0.68812633,-0.05038181,1.50903523,-1.39799309,-0.02628616,6.78035069,0.06668365,0.00000000,-1.38534379,0.70060062,-0.02325314,2.30066013,-1.43576396,0.00808805,7.58640671
4966.342868,-0.01699311,-0.05038181,0.59371877,0.73518300,0.00000000,-1.78115630,-1.42418468,0.00606604,6.30620050,0.03246492,0.01937762,-1.50903523,0.71453375,-0.00387552,-0.96479297,-1.44378865,-0.02628616,7.30191612,-0.07301164,0.03100419,2.15223050,0.68818688,0.03875524,1.48429692,-1.39799309,-0.01415409,6.78035069,0.06668365,0.02712867,-1.45955861,0.70060062,-0.02325314,2.30066013,-1.43577969,-0.02022013,7.44416142
4966.344869,-0.01699311,-0.02712867,0.56898046,0.73518300,0.01937762,-1.73167968,-1.42418468,0.00808805,6.25878525,0.03246492,0.02325314,-1.55851173,0.71453375,-0.00387552,-0.96479297,-1.44375706,0.03235220,7.25450134,-0.07301164,0.00387552,2.12749219,0.68818688,0.03875524,1.48429692,-1.39800894,-0.02830817,6.78035069,0.06668365,0.03100419,-1.45955861,0.70060062,0.00775105,2.30066013,-1.43576396,0.01617610,7.58640671
4966.346795,-0.01696283,0.00000000,0.59371877,0.73518300,0.01937762,-1.73167968,-1.42420042,-0.02022013,6.40103054,0.03246492,0.01162657,-1.55851173,0.71450347,-0.05425733,-0.96479297,-1.44377279,0.00808805,7.20708609,-0.07301164,0.00000000,2.20170712,0.68818688,0.05038181,1.48429692,-1.39799309,-0.00202201,6.78035069,0.06668365,0.03100419,-1.45955861,0.70060062,0.01162657,2.32539845,-1.43574810,0.04448427,7.58640671
4966.348747,-0.01696283,0.00000000,0.59371877,0.73524356,0.09301257,-1.80589461,-1.42418468,0.00606604,6.25878525,0.03243464,-0.06588390,-1.55851173,0.71450347,-0.04263076,-0.96479297,-1.44375706,0.02830817,7.25450134,-0.07301164,0.00000000,2.20170712,0.68818688,0.05813286,1.68220317,-1.39799309,0.00000000,6.87518072,0.06674421,0.11626572,-1.38534379,0.70054007,-0.09301257,2.32539845,-1.43577969,-0.01011006,7.58640671
4966.350955,-0.01693255,0.01937762,0.59371877,0.73521328,0.04263076,-1.80589461,-1.42420042,-0.01415409,6.40103054,0.03246492,0.01937762,-1.55851173,0.71447319,-0.11239019,-0.96479297,-1.44377279,0.00202201,7.25450134,-0.07301164,0.00000000,2.12749219,0.68815660,0.00387552,1.48429692,-1.39799309,-0.01213207,6.78035069,0.06668365,0.01550210,-1.45955861,0.70057034,-0.05813286,2.32539845,-1.43574810,0.03841824,7.49157619
