t_sys,force_FR,force_est_FR,force_FL,force_est_FL,force_RR,force_est_RR,force_RL,force_est_RL
3867.939967,144,0,141,0,162,0,156,0
3867.941454,144,0,141,0,162,0,156,0
3867.943390,144,0,141,0,162,0,156,0
3867.945469,144,0,141,0,162,0,156,0
3867.947093,144,0,141,0,162,0,156,0
3867.949083,144,0,141,0,162,0,156,0
3867.951059,144,0,141,0,162,0,156,0
3867.953060,144,0,141,0,162,0,156,0
3867.955069,144,0,141,0,162,0,156,0
3867.957066,144,0,141,0,162,0,156,0
3867.959069,144,0,141,0,162,0,156,0
3867.961115,144,0,141,0,162,0,156,0
3867.963189,144,0,141,0,162,0,156,0
3867.965177,144,0,141,0,162,0,156,0
3867.967176,144,0,141,0,162,0,156,0
3867.969291,144,0,141,0,162,0,156,0
3867.971156,144,0,141,0,162,0,156,0
3867.973101,144,0,141,0,162,0,156,0
3867.975163,144,0,141,0,162,0,156,0
3867.977165,144,0,141,0,162,0,156,0
3867.979324,144,0,141,0,162,0,156,0
3867.981503,144,0,141,0,162,0,156,0
3867.983445,144,0,141,0,162,0,156,0
3867.985435,144,0,141,0,162,0,156,0
3867.987431,144,0,141,0,162,0,156,0
3867.989364,144,0,141,0,162,0,156,0
3867.991420,144,0,141,0,162,0,156,0
3867.993431,144,0,141,0,162,0,156,0
3867.995445,144,0,141,0,162,0,156,0
3867.997407,144,0,141,0,162,0,156,0
3867.999410,144,0,141,0,162,0,156,0
3868.001401,144,0,141,0,162,0,156,0
3868.003506,144,0,141,0,162,0,156,0
3868.005455,144,0,141,0,162,0,156,0
3868.007483,144,0,141,0,162,0,156,0
3868.009461,144,0,141,0,162,0,156,0
3868.011253,144,0,141,0,162,0,156,0
3868.013308,144,0,141,0,162,0,156,0
3868.015425,144,0,141,0,162,0,156,0
3868.017473,144,0,141,0,162,0,156,0
3868.019650,144,0,141,0,162,0,156,0
3868.021386,144,0,141,0,162,0,156,0
3868.023355,144,0,141,0,162,0,156,0
3868.025356,144,0,141,0,162,0,156,0
3868.027260,144,0,141,0,162,0,156,0
3868.029342,144,0,141,0,162,0,156,0
3868.031209,144,0,141,0,162,0,156,0
3868.033486,144,0,141,0,162,0,156,0
3868.035370,144,0,141,0,162,0,156,0
3868.037501,144,0,141,0,162,0,156,0
3868.039249,144,0,141,0,162,0,156,0
3868.041176,144,0,141,0,162,0,156,0
3868.043483,144,0,141,0,162,0,156,0
3868.045430,144,0,141,0,162,0,156,0
3868.047360,144,0,141,0,162,0,156,0
3868.049195,144,0,141,0,162,0,156,0
3868.051327,144,0,141,0,162,0,156,0
3868.053453,144,0,141,0,162,0,156,0
3868.055471,144,0,141,0,162,0,156,0
3868.057447,144,0,141,0,162,0,156,0
3868.059470,144,0,141,0,162,0,156,0
3868.061466,144,0,141,0,162,0,156,0
3868.063499,144,0,141,0,162,0,156,0
3868.065386,144,0,141,0,162,0,156,0
3868.067496,144,0,141,0,162,0,156,0
3868.069452,144,0,141,0,162,0,156,0
3868.071457,144,0,141,0,162,0,156,0
3868.073445,144,0,141,0,162,0,156,0
3868.075433,144,0,141,0,162,0,156,0
3868.077433,144,0,141,0,162,0,156,0
3868.079146,144,0,141,0,162,0,156,0
3868.081459,144,0,141,0,162,0,156,0
3868.083458,144,0,141,0,162,0,156,0
