t_sys,quat_w,quat_x,quat_y,quat_z,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,rpy_r,rpy_p,rpy_y
3867.939967,0.99997139,0.00254343,-0.00706147,-0.00090174,0.00213053,-0.01171791,-0.01171791,-0.11851298,-0.25737667,9.34097767,0.00509999,-0.01411842,-0.00183954
3867.941454,0.99997139,0.00255211,-0.00706381,-0.00091087,0.00426106,-0.01171791,-0.01171791,-0.11851298,-0.25737667,9.34097767,0.00511748,-0.01412304,-0.00185793
3867.943390,0.99997145,0.00254751,-0.00705871,-0.00091779,-0.01065264,0.00106526,-0.01597896,-0.11851298,-0.25737667,9.34097767,0.00510836,-0.01411280,-0.00187169
3867.945469,0.99997127,0.00256406,-0.00706827,-0.00093226,0.01384844,-0.01597896,-0.01704423,-0.10414778,-0.20709845,9.31703568,0.00514169,-0.01413183,-0.00190090
3867.947093,0.99997127,0.00256712,-0.00707114,-0.00093704,-0.00532632,-0.00319579,-0.00852211,-0.10414778,-0.20709845,9.31703568,0.00514788,-0.01413753,-0.00191052
3867.949083,0.99997121,0.00257419,-0.00707191,-0.00094618,0.01278317,-0.01065264,-0.02024002,-0.05626374,-0.14724341,9.33618927,0.00516216,-0.01413901,-0.00192891
3867.951059,0.99997115,0.00259323,-0.00707318,-0.00096028,0.00745685,-0.00745685,-0.00213053,-0.05626374,-0.14724341,9.33618927,0.00520043,-0.01414143,-0.00195738
3867.953060,0.99997115,0.00259250,-0.00707424,-0.00096662,-0.00639159,-0.00532632,-0.00958738,-0.09696517,-0.12210429,9.36731434,0.00519907,-0.01414353,-0.00197007
3867.955069,0.99997121,0.00258931,-0.00706861,-0.00096931,-0.00852211,0.00213053,-0.00745685,-0.09696517,-0.12210429,9.36731434,0.00519271,-0.01413227,-0.00197538
3867.957066,0.99997121,0.00258541,-0.00706861,-0.00097135,-0.00213053,-0.01384844,0.00319579,-0.09696517,-0.12210429,9.36731434,0.00518494,-0.01413226,-0.00197940
3867.959069,0.99997115,0.00258341,-0.00706734,-0.00097078,-0.00532632,-0.00213053,0.00319579,-0.07781155,-0.05386954,9.33259869,0.00518094,-0.01412972,-0.00197823
3867.961115,0.99997121,0.00258054,-0.00706254,-0.00098144,-0.00426106,-0.00852211,-0.00532632,-0.07781155,-0.05386954,9.33259869,0.00517534,-0.01412007,-0.00199947
3867.963189,0.99997121,0.00257968,-0.00706189,-0.00098034,-0.00958738,-0.00745685,-0.00426106,-0.03711013,-0.09457096,9.28950214,0.00517360,-0.01411878,-0.00199726
3867.965177,0.99997127,0.00257203,-0.00706455,-0.00097483,-0.00319579,-0.02130529,-0.00213053,-0.03711013,-0.09457096,9.28950214,0.00515823,-0.01412414,-0.00198615
3867.967176,0.99997127,0.00257057,-0.00706332,-0.00097588,-0.00639159,-0.00639159,-0.00426106,-0.03711013,-0.09457096,9.28950214,0.00515532,-0.01412169,-0.00198822
3867.969291,0.99997127,0.00256928,-0.00706842,-0.00097683,0.00319579,-0.01384844,-0.00532632,-0.02873042,-0.11851298,9.38287640,0.00515276,-0.01413189,-0.00199012
3867.971156,0.99997133,0.00256225,-0.00706296,-0.00097570,-0.00426106,-0.00319579,0.00426106,-0.02873042,-0.11851298,9.38287640,0.00513866,-0.01412099,-0.00198774
3867.973101,0.99997127,0.00256608,-0.00706140,-0.00097684,0.00426106,-0.00532632,-0.00426106,-0.02873042,-0.11851298,9.38287640,0.00514634,-0.01411786,-0.00199006
3867.975163,0.99997127,0.00256692,-0.00706904,-0.00096925,0.00426106,-0.00745685,0.00213053,-0.00957681,-0.22385786,9.32062721,0.00514793,-0.01413317,-0.00197494
3867.977165,0.99997121,0.00257917,-0.00706979,-0.00095930,0.00213053,-0.00639159,0.01278317,-0.00957681,-0.22385786,9.32062721,0.00517229,-0.01413469,-0.00195520
3867.979324,0.99997115,0.00258633,-0.00707199,-0.00095031,0.01171791,-0.01278317,0.01597896,-0.02513912,-0.19871874,9.27872849,0.00518650,-0.01413913,-0.00193734
3867.981503,0.99997109,0.00261049,-0.00708158,-0.00094200,0.01810949,-0.00745685,0.00106526,-0.02513912,-0.19871874,9.27872849,0.00523473,-0.01415830,-0.00192111
3867.983445,0.99997109,0.00262278,-0.00707456,-0.00093855,0.00639159,-0.00639159,-0.00532632,0.00239420,-0.11611878,9.35294914,0.00525924,-0.01414426,-0.00191436
3867.985435,0.99997103,0.00262877,-0.00707959,-0.00093431,0.00958738,-0.01810949,0.00639159,0.00239420,-0.11611878,9.35294914,0.00527118,-0.01415432,-0.00190597
3867.987431,0.99997097,0.00263432,-0.00708357,-0.00091781,0.00106526,-0.00532632,0.00958738,0.00239420,-0.11611878,9.35294914,0.00528204,-0.01416237,-0.00187307
3867.989364,0.99997109,0.00261659,-0.00708094,-0.00091118,-0.00958738,-0.01810949,0.01065264,-0.03471592,-0.02513912,9.30386734,0.00524648,-0.01415718,-0.00185954
3867.991420,0.99997109,0.00260983,-0.00708167,-0.00090307,-0.01704423,-0.00958738,0.01384844,-0.03471592,-0.02513912,9.30386734,0.00523285,-0.01415868,-0.00184323
3867.993431,0.99997121,0.00258663,-0.00708127,-0.00089151,-0.03089266,0.00213053,0.01384844,-0.03950433,-0.10893618,9.33499241,0.00518629,-0.01415799,-0.00181979
3867.995445,0.99997127,0.00256531,-0.00707581,-0.00088593,-0.02024002,-0.00532632,0.00213053,-0.03950433,-0.10893618,9.33499241,0.00514355,-0.01414714,-0.00180829
3867.997407,0.99997127,0.00255644,-0.00708031,-0.00088678,-0.02130529,-0.01704423,-0.00426106,-0.03950433,-0.10893618,9.33499241,0.00512583,-0.01415616,-0.00180990
3867.999410,0.99997133,0.00254674,-0.00707880,-0.00087598,-0.01171791,-0.00745685,0.00958738,0.00957681,-0.21667525,9.30626202,0.00510626,-0.01415320,-0.00178815
3868.001401,0.99997133,0.00254850,-0.00708005,-0.00087705,0.00745685,-0.00639159,-0.00532632,0.00957681,-0.21667525,9.30626202,0.00510981,-0.01415570,-0.00179031
3868.003506,0.99997133,0.00255510,-0.00708101,-0.00087873,0.01065264,-0.00958738,-0.00532632,0.00957681,-0.21667525,9.30626202,0.00512304,-0.01415760,-0.00179377
3868.005455,0.99997115,0.00257918,-0.00708231,-0.00087961,0.01810949,-0.00426106,0.00213053,0.00119710,-0.33399114,9.35773754,0.00517122,-0.01416015,-0.00179588
3868.007483,0.99997115,0.00259528,-0.00708263,-0.00087453,0.01491370,-0.01384844,-0.00745685,0.00119710,-0.33399114,9.35773754,0.00520334,-0.01416078,-0.00178594
3868.009461,0.99997115,0.00259629,-0.00708627,-0.00087502,0.00106526,-0.01491370,-0.00319579,-0.02992752,-0.22385786,9.30027676,0.00520537,-0.01416806,-0.00178697
3868.011253,0.99997109,0.00261315,-0.00708484,-0.00087744,0.00532632,0.00958738,-0.00532632,-0.02992752,-0.22385786,9.30027676,0.00523914,-0.01416516,-0.00179204
3868.013308,0.99997109,0.00261055,-0.00708924,-0.00087841,-0.01171791,-0.01704423,-0.00639159,-0.08140286,-0.06224924,9.30745888,0.00523395,-0.01417396,-0.00179396
3868.015425,0.99997109,0.00261187,-0.00708524,-0.00088009,0.00106526,0.00000000,-0.00532632,-0.08140286,-0.06224924,9.30745888,0.00523661,-0.01416594,-0.00179731
3868.017473,0.99997115,0.00261649,-0.00707998,-0.00089461,-0.00319579,-0.00213053,-0.00958738,-0.08140286,-0.06224924,9.30745888,0.00524604,-0.01415534,-0.00182639
3868.019650,0.99997115,0.00261605,-0.00708061,-0.00089991,-0.00319579,-0.00958738,-0.01278317,-0.09935937,-0.11731588,9.36132908,0.00524524,-0.01415658,-0.00183700
3868.021386,0.99997115,0.00260495,-0.00707464,-0.00090886,-0.00852211,-0.00106526,-0.00639159,-0.09935937,-0.11731588,9.36132908,0.00522315,-0.01414461,-0.00185472
3868.023355,0.99997115,0.00259913,-0.00707115,-0.00091573,-0.01278317,-0.00213053,-0.01065264,-0.12569559,-0.09935937,9.36611748,0.00521160,-0.01413761,-0.00186836
3868.025356,0.99997133,0.00258122,-0.00706532,-0.00092351,-0.02024002,0.00000000,-0.00852211,-0.12569559,-0.09935937,9.36611748,0.00517587,-0.01412593,-0.00188364
3868.027260,0.99997139,0.00257250,-0.00705451,-0.00093151,-0.01065264,0.00319579,-0.01384844,-0.12569559,-0.09935937,9.36611748,0.00515853,-0.01410430,-0.00189945
3868.029342,0.99997139,0.00256669,-0.00705382,-0.00093673,-0.01491370,-0.01065264,-0.00426106,-0.06703765,-0.23582886,9.32661247,0.00514699,-0.01410290,-0.00190981
3868.031209,0.99997145,0.00256586,-0.00704840,-0.00093997,-0.00852211,-0.00213053,-0.00319579,-0.06703765,-0.23582886,9.32661247,0.00514537,-0.01409203,-0.00191626
3868.033486,0.99997133,0.00256998,-0.00705955,-0.00094358,0.00000000,-0.02663161,-0.01065264,-0.06943185,-0.27653030,9.36013126,0.00515368,-0.01411432,-0.00192359
3868.035370,0.99997133,0.00257408,-0.00705653,-0.00095753,0.00958738,-0.00426106,-0.01917476,-0.06943185,-0.27653030,9.36013126,0.00516206,-0.01410819,-0.00195152
3868.037501,0.99997127,0.00258544,-0.00705663,-0.00096674,0.01384844,-0.01491370,-0.00958738,-0.10295067,-0.20829555,9.32182407,0.00518491,-0.01410833,-0.00197011
3868.039249,0.99997127,0.00259251,-0.00705631,-0.00096685,0.01278317,-0.00852211,-0.00213053,-0.10295067,-0.20829555,9.32182407,0.00519906,-0.01410767,-0.00197042
3868.041176,0.99997127,0.00260455,-0.00704894,-0.00097511,0.00745685,-0.00213053,-0.01384844,-0.10295067,-0.20829555,9.32182407,0.00522324,-0.01409287,-0.00198708
3868.043483,0.99997121,0.00261111,-0.00705883,-0.00097398,0.00852211,-0.01810949,0.00426106,-0.08379706,-0.07541735,9.38287640,0.00523637,-0.01411263,-0.00198496
3868.045430,0.99997127,0.00260853,-0.00705117,-0.00097510,-0.01597896,0.00106526,-0.00426106,-0.08379706,-0.07541735,9.38287640,0.00523120,-0.01409731,-0.00198712
3868.047360,0.99997121,0.00260945,-0.00705852,-0.00098084,-0.00213053,-0.02237055,-0.00426106,-0.07422026,-0.05865794,9.35175228,0.00523314,-0.01411199,-0.00199866
3868.049195,0.99997133,0.00260447,-0.00703917,-0.00097943,-0.01810949,0.01278317,-0.00319579,-0.07422026,-0.05865794,9.35175228,0.00522313,-0.01407331,-0.00199566
3868.051327,0.99997139,0.00260025,-0.00703403,-0.00097783,-0.01171791,0.00106526,0.00106526,-0.07422026,-0.05865794,9.35175228,0.00521464,-0.01406304,-0.00199238
3868.053453,0.99997139,0.00258461,-0.00703852,-0.00097855,-0.00639159,-0.00745685,-0.01278317,-0.04908114,-0.07062895,9.28112316,0.00518338,-0.01407203,-0.00199362
3868.055471,0.99997145,0.00257927,-0.00703695,-0.00097313,-0.01171791,-0.01171791,-0.00106526,-0.04908114,-0.07062895,9.28112316,0.00517262,-0.01406894,-0.00198271
3868.057447,0.99997145,0.00257900,-0.00703517,-0.00097314,-0.00426106,-0.00532632,-0.00213053,-0.04908114,-0.07062895,9.28112316,0.00517208,-0.01406539,-0.00198271
3868.059470,0.99997133,0.00257769,-0.00705426,-0.00095841,-0.01384844,-0.01597896,0.01704423,-0.04788403,-0.12689269,9.34576607,0.00516929,-0.01410363,-0.00195333
3868.061466,0.99997133,0.00258107,-0.00705678,-0.00095628,0.00319579,-0.01384844,0.00213053,-0.04788403,-0.12689269,9.34576607,0.00517603,-0.01410870,-0.00194914
3868.063499,0.99997127,0.00258859,-0.00706579,-0.00096050,0.00426106,-0.02130529,0.00106526,-0.00718261,-0.23343466,9.40322685,0.00519115,-0.01412666,-0.00195773
3868.065386,0.99997127,0.00259447,-0.00705731,-0.00095111,0.01917476,-0.00639159,0.00532632,-0.00718261,-0.23343466,9.40322685,0.00520275,-0.01410974,-0.00193897
3868.067496,0.99997133,0.00260558,-0.00704883,-0.00093275,0.00426106,0.00106526,0.02130529,-0.01915361,-0.22385786,9.29309368,0.00522471,-0.01409285,-0.00190236
3868.069452,0.99997133,0.00260558,-0.00704883,-0.00093275,0.00426106,0.00106526,0.02130529,-0.01915361,-0.22385786,9.29309368,0.00522471,-0.01409285,-0.00190236
3868.071457,0.99997133,0.00262952,-0.00704400,-0.00091079,0.00745685,-0.00213053,0.00319579,-0.01915361,-0.22385786,9.29309368,0.00527226,-0.01408328,-0.00185877
3868.073445,0.99997121,0.00263234,-0.00705074,-0.00089901,0.00213053,-0.01278317,0.00745685,-0.00837971,-0.08020575,9.37090588,0.00527776,-0.01409682,-0.00183528
3868.075433,0.99997127,0.00263291,-0.00705114,-0.00088516,-0.00426106,0.00000000,0.01171791,-0.00837971,-0.08020575,9.37090588,0.00527871,-0.01409767,-0.00180757
3868.077433,0.99997127,0.00263218,-0.00705326,-0.00087658,-0.00852211,-0.01171791,0.01171791,-0.01197101,-0.00957681,9.33978081,0.00527712,-0.01410197,-0.00179042
3868.079146,0.99997127,0.00263546,-0.00704983,-0.00087348,0.00319579,-0.00106526,0.00426106,-0.01197101,-0.00957681,9.33978081,0.00528363,-0.01409512,-0.00178425
3868.081459,0.99997127,0.00263061,-0.00705471,-0.00086799,-0.00426106,-0.01704423,0.00106526,-0.01197101,-0.00957681,9.33978081,0.00527387,-0.01410493,-0.00177323
3868.083458,0.99997139,0.00261146,-0.00705231,-0.00085546,-0.02024002,0.00213053,0.00213053,-0.05027824,-0.13646950,9.34456921,0.00523538,-0.01410021,-0.00174788
3868.085474,0.99997139,0.00259379,-0.00705169,-0.00085146,-0.01384844,-0.01384844,-0.00106526,-0.05027824,-0.13646950,9.34456921,0.00519999,-0.01409902,-0.00173962
3868.087476,0.99997139,0.00257964,-0.00705055,-0.00084965,-0.01491370,-0.00639159,-0.00745685,0.02154781,-0.19393034,9.31943035,0.00517164,-0.01409678,-0.00173579
3868.089382,0.99997163,0.00257057,-0.00703675,-0.00084225,-0.01065264,0.00426106,0.00532632,0.02154781,-0.19393034,9.31943035,0.00515338,-0.01406924,-0.00172080
3868.091333,0.99997151,0.00257240,-0.00703913,-0.00083584,0.00319579,-0.01065264,0.00532632,0.02154781,-0.19393034,9.31943035,0.00515695,-0.01407402,-0.00170802
3868.093516,0.99997151,0.00258055,-0.00704008,-0.00083382,0.01384844,-0.00958738,0.00213053,-0.01915361,-0.30526072,9.35534286,0.00517322,-0.01407591,-0.00170409
3868.095415,0.99997151,0.00259118,-0.00703822,-0.00083774,0.00319579,0.00000000,-0.00426106,-0.01915361,-0.30526072,9.35534286,0.00519454,-0.01407216,-0.00171208
3868.097426,0.99997145,0.00260455,-0.00704551,-0.00084530,0.00958738,-0.01704423,-0.00639159,-0.05267244,-0.27293900,9.32421875,0.00522141,-0.01408668,-0.00172742
3868.099468,0.99997133,0.00262147,-0.00704460,-0.00084877,0.01597896,-0.00639159,-0.01384844,-0.05267244,-0.27293900,9.32421875,0.00525529,-0.01408481,-0.00173460
3868.101326,0.99997139,0.00263665,-0.00703924,-0.00084802,0.01597896,-0.00319579,0.00106526,-0.05267244,-0.27293900,9.32421875,0.00528563,-0.01407407,-0.00173328
3868.103377,0.99997145,0.00263767,-0.00703256,-0.00085133,0.00106526,0.00532632,-0.00852211,-0.06823475,-0.08020575,9.28710842,0.00528770,-0.01406069,-0.00173989
3868.105261,0.99997133,0.00265038,-0.00704080,-0.00084873,0.01171791,-0.01597896,0.00000000,-0.06823475,-0.08020575,9.28710842,0.00531311,-0.01407717,-0.00173492
3868.107235,0.99997133,0.00265074,-0.00703991,-0.00084928,-0.00639159,-0.00319579,0.00213053,-0.06823475,-0.08020575,9.28710842,0.00531385,-0.01407537,-0.00173600
3868.109271,0.99997127,0.00263914,-0.00704500,-0.00086500,-0.01384844,-0.01278317,-0.02024002,-0.06584055,-0.04309563,9.37689114,0.00529086,-0.01408549,-0.00176731
3868.111473,0.99997139,0.00262973,-0.00704136,-0.00087287,-0.01278317,-0.00106526,-0.00426106,-0.06584055,-0.04309563,9.37689114,0.00527214,-0.01407819,-0.00178291
3868.113515,0.99997139,0.00262235,-0.00703850,-0.00087225,-0.01171791,-0.00745685,0.00000000,-0.10055647,-0.10893618,9.37808800,0.00525737,-0.01407248,-0.00178154
3868.115459,0.99997139,0.00261697,-0.00703949,-0.00087853,-0.01384844,-0.01065264,-0.01491370,-0.10055647,-0.10893618,9.37808800,0.00524671,-0.01407445,-0.00179404
3868.117390,0.99997151,0.00260299,-0.00702836,-0.00089390,-0.01171791,0.00319579,-0.00639159,-0.12808979,-0.21188685,9.31943035,0.00521893,-0.01405213,-0.00182452
3868.119861,0.99997151,0.00260124,-0.00702538,-0.00089550,-0.00639159,-0.00319579,-0.00532632,-0.12808979,-0.21188685,9.31943035,0.00521545,-0.01404617,-0.00182768
3868.121414,0.99997139,0.00261177,-0.00702869,-0.00091635,0.00319579,-0.00639159,-0.01171791,-0.12808979,-0.21188685,9.31943035,0.00523682,-0.01405265,-0.00186955
3868.123412,0.99997145,0.00261483,-0.00703166,-0.00092699,-0.00852211,-0.00745685,-0.01384844,-0.09097967,-0.25737667,9.30506516,0.00524309,-0.01405853,-0.00189088
3868.125358,0.99997139,0.00262078,-0.00703671,-0.00093337,0.01278317,-0.01810949,-0.01278317,-0.09097967,-0.25737667,9.30506516,0.00525510,-0.01406859,-0.00190377
3868.127346,0.99997133,0.00263136,-0.00703581,-0.00093247,0.01810949,-0.01597896,-0.00639159,-0.09217677,-0.25378537,9.32302189,0.00527623,-0.01406676,-0.00190209
3868.129386,0.99997127,0.00263993,-0.00703455,-0.00094325,0.00958738,-0.01171791,-0.01491370,-0.09217677,-0.25378537,9.32302189,0.00529353,-0.01406417,-0.00192379
3868.131379,0.99997133,0.00265262,-0.00702793,-0.00095152,0.00639159,0.00319579,-0.01065264,-0.09217677,-0.25378537,9.32302189,0.00531902,-0.01405088,-0.00194047
3868.133390,0.99997127,0.00265503,-0.00702856,-0.00094993,0.00319579,-0.01704423,0.00000000,-0.11611878,-0.13287820,9.31703568,0.00532382,-0.01405212,-0.00193733
3868.135426,0.99997121,0.00265820,-0.00703875,-0.00095301,-0.00426106,-0.01704423,-0.00852211,-0.11611878,-0.13287820,9.31703568,0.00533021,-0.01407250,-0.00194358
3868.137449,0.99997127,0.00265800,-0.00703564,-0.00095942,-0.00319579,-0.00106526,-0.00745685,-0.09337386,0.01915361,9.38167953,0.00532991,-0.01406623,-0.00195638
3868.139310,0.99997127,0.00265436,-0.00703307,-0.00096470,-0.00426106,-0.00745685,-0.00745685,-0.09337386,0.01915361,9.38167953,0.00532268,-0.01406109,-0.00196688
3868.141368,0.99997133,0.00264666,-0.00703097,-0.00096299,-0.02237055,0.00532632,0.00319579,-0.09337386,0.01915361,9.38167953,0.00530726,-0.01405690,-0.00196333
3868.143264,0.99997139,0.00263226,-0.00702687,-0.00096333,-0.01491370,-0.00639159,-0.00532632,-0.06584055,-0.07062895,9.37928486,0.00527845,-0.01404873,-0.00196379
3868.145424,0.99997139,0.00262856,-0.00702614,-0.00096698,-0.00426106,-0.01278317,0.00000000,-0.06584055,-0.07062895,9.37928486,0.00527111,-0.01404726,-0.00197103
3868.147378,0.99997133,0.00262496,-0.00702970,-0.00096364,-0.00106526,-0.00745685,0.00426106,-0.02513912,-0.16160862,9.28591156,0.00526387,-0.01405441,-0.00196432
3868.149449,0.99997139,0.00262326,-0.00703291,-0.00095661,-0.00532632,-0.01384844,0.00532632,-0.02513912,-0.16160862,9.28591156,0.00526038,-0.01406086,-0.00195026
3868.151422,0.99997139,0.00262819,-0.00703264,-0.00095400,-0.00532632,-0.00958738,-0.00106526,-0.02513912,-0.16160862,9.28591156,0.00527020,-0.01406033,-0.00194511
3868.153390,0.99997133,0.00264315,-0.00703732,-0.00095627,0.01278317,-0.01278317,0.00106526,-0.05267244,-0.27653030,9.34576607,0.00530017,-0.01406964,-0.00194989
3868.155545,0.99997127,0.00265081,-0.00704291,-0.00094724,0.00532632,-0.01597896,0.00319579,-0.05267244,-0.27653030,9.34576607,0.00531535,-0.01408086,-0.00193195
3868.157420,0.99997127,0.00265819,-0.00704012,-0.00094259,0.01278317,-0.00319579,0.00745685,-0.05267244,-0.27653030,9.34576607,0.00533006,-0.01407529,-0.00192275
3868.159466,0.99997109,0.00266579,-0.00705015,-0.00093029,0.00426106,-0.01704423,0.00852211,-0.01316811,-0.20590134,9.30865574,0.00534510,-0.01409539,-0.00189831
3868.161463,0.99997115,0.00268140,-0.00703964,-0.00092375,0.01171791,0.00745685,0.00426106,-0.01316811,-0.20590134,9.30865574,0.00537621,-0.01407438,-0.00188539
3868.163529,0.99997115,0.00268815,-0.00704356,-0.00090728,0.00213053,-0.01597896,0.01065264,0.01436521,-0.16759412,9.34097767,0.00538948,-0.01408229,-0.00185256
3868.165424,0.99997109,0.00269766,-0.00705190,-0.00088919,0.00852211,-0.00958738,0.02130529,0.01436521,-0.16759412,9.34097767,0.00540827,-0.01409906,-0.00181655
3868.167353,0.99997121,0.00269301,-0.00704180,-0.00087488,-0.00532632,-0.00958738,0.00426106,0.00957681,0.00119710,9.38167953,0.00539874,-0.01407894,-0.00178781
3868.169555,0.99997115,0.00269261,-0.00704604,-0.00088120,-0.00319579,-0.01597896,-0.01491370,0.00957681,0.00119710,9.38167953,0.00539804,-0.01408740,-0.00180048
3868.171218,0.99997127,0.00266571,-0.00704502,-0.00086322,-0.02876214,-0.00426106,0.01171791,0.00957681,0.00119710,9.38167953,0.00534399,-0.01408551,-0.00176412
3868.173425,0.99997121,0.00265482,-0.00704954,-0.00086084,-0.01278317,-0.01384844,-0.00106526,-0.05147533,-0.11252748,9.38766479,0.00532218,-0.01409457,-0.00175924
3868.175173,0.99997127,0.00264908,-0.00704883,-0.00086129,-0.01491370,-0.00639159,-0.00319579,-0.05147533,-0.11252748,9.38766479,0.00531071,-0.01409317,-0.00176006
3868.177435,0.99997127,0.00263250,-0.00705172,-0.00085086,-0.01278317,-0.01171791,0.00532632,-0.00119710,-0.16519992,9.31344414,0.00527740,-0.01409902,-0.00173896
3868.179468,0.99997139,0.00262395,-0.00704388,-0.00085083,-0.00639159,0.00213053,0.00106526,-0.00119710,-0.16519992,9.31344414,0.00526029,-0.01408336,-0.00173876
3868.181467,0.99997145,0.00261909,-0.00703600,-0.00084234,-0.00745685,-0.00426106,0.00532632,-0.00119710,-0.16519992,9.31344414,0.00525043,-0.01406764,-0.00172167
3868.183452,0.99997151,0.00261832,-0.00702778,-0.00084139,-0.00213053,0.00639159,0.00106526,0.00598550,-0.31004912,9.33499241,0.00524885,-0.01405121,-0.00171970
3868.185440,0.99997145,0.00262436,-0.00703403,-0.00084086,0.01384844,-0.01917476,-0.00532632,0.00598550,-0.31004912,9.33499241,0.00526095,-0.01406370,-0.00171875
3868.187451,0.99997139,0.00263629,-0.00703440,-0.00083837,0.02237055,-0.00852211,0.00319579,-0.06823475,-0.30406362,9.34456921,0.00528477,-0.01406445,-0.00171395
3868.189461,0.99997139,0.00265218,-0.00703636,-0.00083806,0.01065264,-0.00745685,0.00319579,-0.06823475,-0.30406362,9.34456921,0.00531655,-0.01406834,-0.00171356
3868.191451,0.99997133,0.00266352,-0.00703473,-0.00084625,0.01704423,0.00000000,-0.01384844,-0.07541735,-0.09935937,9.27513695,0.00533934,-0.01406500,-0.00173009
3868.193258,0.99997133,0.00266960,-0.00703444,-0.00084954,0.01384844,-0.00958738,0.00000000,-0.07541735,-0.09935937,9.27513695,0.00535155,-0.01406441,-0.00173676
3868.195430,0.99997139,0.00267131,-0.00703031,-0.00085335,0.00000000,0.00000000,-0.00532632,-0.07541735,-0.09935937,9.27513695,0.00535502,-0.01405611,-0.00174438
3868.197392,0.99997133,0.00266773,-0.00702990,-0.00085702,-0.00852211,-0.00958738,-0.00426106,-0.03711013,-0.03232172,9.35294914,0.00534790,-0.01405529,-0.00175166
3868.199342,0.99997127,0.00266726,-0.00703866,-0.00086485,0.00000000,-0.00745685,-0.00958738,-0.03711013,-0.03232172,9.35294914,0.00534709,-0.01407277,-0.00176738
3868.201389,0.99997133,0.00265328,-0.00703569,-0.00087373,-0.01597896,-0.01384844,-0.01171791,-0.09457096,-0.10654198,9.38527107,0.00531925,-0.01406679,-0.00178491
3868.203413,0.99997139,0.00263833,-0.00704100,-0.00087979,-0.01810949,-0.00532632,-0.00745685,-0.09457096,-0.10654198,9.38527107,0.00528945,-0.01407742,-0.00179687
3868.205385,0.99997139,0.00262826,-0.00703823,-0.00088020,-0.02343581,-0.00319579,-0.00319579,-0.09457096,-0.10654198,9.38527107,0.00526930,-0.01407189,-0.00179753
3868.207489,0.99997151,0.00261155,-0.00702132,-0.00089508,-0.01917476,0.00000000,-0.01278317,-0.12210429,-0.17238252,9.32661247,0.00523606,-0.01403803,-0.00182697
3868.209475,0.99997163,0.00261061,-0.00701498,-0.00090632,0.00213053,0.00426106,-0.01384844,-0.12210429,-0.17238252,9.32661247,0.00523433,-0.01402528,-0.00184941
3868.211446,0.99997157,0.00261142,-0.00701466,-0.00091112,-0.00106526,-0.00852211,-0.01171791,-0.12210429,-0.17238252,9.32661247,0.00523601,-0.01402462,-0.00185901
3868.213435,0.99997151,0.00261116,-0.00701841,-0.00092168,-0.00852211,-0.01384844,-0.00852211,-0.09457096,-0.23822308,9.29907894,0.00523564,-0.01403206,-0.00188015
